49923	'jig rten na ni slong ba mod gnod pa byed pa dkon pa ste 'di ltar phar gnod ma byas [nas	8.9	len88;odd4;mixed7
49653	sprin gyi rtsa ba nar bar snang ba las char 'bab par rjes su dpag pa (dpog pa)	8.9	len78;odd4;mixed8
43403	~~ma 'dres pa'i rnam par thar par (pa'i) mdzad pa'i ye shes kyi mthar phyin pa	8.9	len78;odd4;mixed10
36863	chos mngon pa mdzod kyi bshad pa'i rgya cher 'grel pa (don gyi de kho na nyid)	8.9	len78;odd4;mixed9
36421	chu 'brug (brug) par snang ba las gong du char 'bab par rjes su dpag (dpog) pa	8.9	len78;odd4;mixed12
63817	~~stong phrag nyi shu lnga pa'i man ngag gi bstan bcos mngon par rtogs pa'i rgyan gyi tshig le'ur byas pa'i rnam par 'grel pa	8.8	len125;odd2;mixed7
42639	gang zhig dang po 'bad de bteg drangs kyang ngo tshas 'og tu lta sngon ni mthong ngam ma mthong yang gos kyis gdong ni g-yogs par gyur	8.7	len134;odd2;mixed6
42018	(thog ma dang tha ma med pa'i stong nyid) thog ma nas mya ngan las 'das pa	8.7	len74;odd4;mixed10
35334	lnga las lhag par tshig drug gam lnga las lhag par chos ston pa (bshad pa)	8.7	len74;odd4;mixed9
27554	bkod pa kun la (tu) dga' ba'i rang bzhin gyi tshul bstan do (tshul ston pa	8.7	len74;odd4;mixed10
56312	yang dag par rdzogs pa'i byang chub mngon par rdzogs par ~~bar 'gyur (ba)	8.7	len73;odd4;mixed9
43445	~~ting nge 'dzin gyi stobs bskyed pa bee DU rya'i 'od ces bya ba'i gzungs	8.7	len73;odd4;mixed9
58032	(bzhi pa'i) so so yang dag par rig pa rnam par gdon mi za ba la mkhas pa	8.6	len72;odd4;mixed10
50012	phung po'i lhag ma med pa'i mya ngan las 'das pa'i dbyings su yongs su mya ngan las 'das [so	8.6	len92;odd4;mixed6
67054	aa la la zhes ca co dang gzha'i sgra (prakShva) kha cig tu 'ur sgra zer	8.6	len71;odd4;mixed12
68135	bka' khrims bca' (bcas) khrims kyi skabs su ni bka' khrims bca' (bcas)	8.5	len70;odd4;mixed12
67771	ke la sha = kee la sha = ri'i rgyal po ti se	8.5	odd6;mixed5
58492	gza' bdag ( = nyi ma)	8.5	odd6;mixed5
27484	bka' khrims bca' (bcas) khrims kyi skabs su ni bka' khrims bca' (bcas	8.4	len69;odd4;mixed11
45250	('das pa dang ma 'ongs pa dang da ltar byung ba) 'das pa yang ma yin	8.4	len68;odd4;mixed8
43822	don yod pa'i lus dang (ngag dang) yid kyi las kyi mtha' la brtson pa	8.4	len68;odd4;mixed10
43462	~~gtsug tor nas byung ba'i gdugs dkar mo can gzhan gyis mi thub ma phyir bzlog pa zhes bya ba'i gzungs kyi sgrub thabs	8.4	len118;odd2;mixed7
47931	~~chen po mngon par rdzogs par byang chub pa rnam par sprul pa byin gyis rlob pa shin tu rgyas pa mdo sde'i dbang po'i rgyal po	8.3	len127;odd2;mixed6
43543	de'i dge sbyong gi tshul phyir bslang (slang) du med par 'gyur (ba)	8.3	len67;odd4;mixed11
45253	'das pa'i dus la ma chags ma thogs pa'i ye shes [gzigs par 'jug go	8.3	len66;odd4;mixed9
30158	(a'arya) DA ki nI wa dzra pany dza ra ma hA tan tra rA dza-kal pa	8.2	len65;odd4;mixed15
59694	yid la bsams pa bzhin re ba yongs su rdzogs par byed (rdzogs pa)	8.2	len64;odd4;mixed10
43326	~~dgra bcom pa yang dag par rdzogs pa'i sangs rgyas ngan song thams cad yongs su sbyong ba gzi brjid kyi rgyal po'i brtag pa	8.2	len124;odd2;mixed6
43827	~~'i dkyil 'khor gyi lha tshogs la bstod paMdri ma med pa'i 'od	8.2	len63;odd4;mixed10
62774	lus dang lus kyi yan lag (dang nying log) la sogs pa'i ming la	8.1	len62;odd4;mixed9
46463	sdug pa'i rnam par thar pa('i) lus kyis mngon sum du byas te rdzogs par byas nas gnas pa 'di ni rnam par thar ba gsum pa'o	8.1	len122;odd2;mixed6
34857	~~phrag brgya na rnam par gzhag (bzhag) pa gdags pa zhes bya'o	8.1	len62;odd4;mixed14
46643	de yis mdzad bshes skyo bar 'gyur sbyin pas bsdus kyang [sten	8.1	len61;odd4;mixed11
105634	aoor dhva de hi ka	8.0	odd4;mixed8
105270	aa ra pa tsa na =spros pa med pa	8.0	odd4;mixed8
102379	shod sgra= kroog	8.0	odd4;mixed10
100393	lva bas g-yogs	8.0	odd4;mixed9
100386	lva ba dkar pos g-yogs pa	8.0	odd4;mixed9
99299	ri dvags skrags mig ltar g-yo	8.0	odd4;mixed9
97965	g-yogs med	8.0	odd4;mixed8
93168	tshva ba gsum (tsha!!)	8.0	odd4;mixed13
88022	bi ba svAna too	8.0	odd4;mixed8
86165	dpal 'dzin[chen po]	8.0	odd4;mixed13
81723	dri [ma] med [pa'i] bshes gnyen	8.0	odd4;mixed10
80691	dang ga[mi bde]	8.0	odd4;mixed9
78037	gnyis [su]med [pa'i]sbas pa	8.0	odd4;mixed17
