!! zhugs nyid	⟨!!⟩་ཞུགས་ཉིད
!!don du	⟨!!don⟩་དུ
!!lcags sgrog ma	⟨!!lcags⟩་སྒྲོག་མ
!!mdog dbyibs can	⟨!!mdog⟩་དབྱིབས་ཅན
!!mid par byed pa	⟨!!mid⟩་པར་བྱེད་པ
!!ming can	⟨!!ming⟩་ཅན
!!mtshon cha can	⟨!!mtshon⟩་ཆ་ཅན
!!ra bcas	⟨!!ra⟩་བཅས
!!rnam pa can	⟨!!rnam⟩་པ་ཅན
!!snod du gyur	⟨!!snod⟩་དུ་གྱུར
!!theg pa pa	⟨!!theg⟩་པ་པ
'am ci	འམ་ཅི
sgrub pa'i go rim	སྒྲུབ་པའི་གོ་རིམ
sgrub pa'i mtshan nyid	སྒྲུབ་པའི་མཚན་ཉིད
sgrub pa'i phyir	སྒྲུབ་པའི་ཕྱིར
sgrub pa'i thabs kyi gleng gzhi	སྒྲུབ་པའི་ཐབས་ཀྱི་གླེང་གཞི
sgrub par 'gyur	སྒྲུབ་པར་འགྱུར
sgrub par 'gyur ro	སྒྲུབ་པར་འགྱུར་རོ
sgrub par bya ba ldog pa med pa	སྒྲུབ་པར་བྱ་བ་ལྡོག་པ་མེད་པ
sgrub par byed pa	སྒྲུབ་པར་བྱེད་པ
sgrub par byed pa 'bras bu med pa'i phyir	སྒྲུབ་པར་བྱེད་པ་འབྲས་བུ་མེད་པའི་ཕྱིར
sgrub par byed pa dam pa	སྒྲུབ་པར་བྱེད་པ་དམ་པ
sgrub par byed pa yin	སྒྲུབ་པར་བྱེད་པ་ཡིན
sgrub par byed pa'i chos ma grub pa	སྒྲུབ་པར་བྱེད་པའི་ཆོས་མ་གྲུབ་པ
sgrub par dka'	སྒྲུབ་པར་དཀའ
sgrub par mdzad pa	སྒྲུབ་པར་མཛད་པ
sgrub po	སྒྲུབ་པོ
sgrub ran	སྒྲུབ་རན
sgrub thabs	སྒྲུབ་ཐབས
sgrub thabs brgya dang brgyad pa	སྒྲུབ་ཐབས་བརྒྱ་དང་བརྒྱད་པ
sgrub thabs bsdus pa	སྒྲུབ་ཐབས་བསྡུས་པ
sgrub tshul	སྒྲུབ་ཚུལ
sgrub tu gzhug	སྒྲུབ་ཏུ་གཞུག
sgrubs shig	སྒྲུབས་ཤིག
sgrug(s)	⟨sgrug(s)⟩
sgrung ba	སྒྲུང་བ
sgrung pa	སྒྲུང་པ
sgrungs pa	སྒྲུངས་པ
sgu bo	སྒུ་བོ
sgug pa	སྒུག་པ
sgur	སྒུར
sgur bo	སྒུར་བོ
sgur chung	སྒུར་ཆུང
sgye sgyu sgyur ba	སྒྱེ་སྒྱུ་སྒྱུར་བ
sgye'o	སྒྱེའོ
sgye'u	སྒྱེའུ
sgyed po	སྒྱེད་པོ
sgyid 'khris	སྒྱིད་འཁྲིས
sgyid bu	སྒྱིད་བུ
sgyid lug pa	སྒྱིད་ལུག་པ
sgyid lugs pa'i le lo	སྒྱིད་ལུགས་པའི་ལེ་ལོ
sgying ba	སྒྱིང་བ
sgyings pa	སྒྱིངས་པ
sgyong ba	སྒྱོང་བ
sgyu 'phrul	སྒྱུ་འཕྲུལ
sgyu 'phrul chen mo zhes bya ba'i sgrub pa'i thabs	སྒྱུ་འཕྲུལ་ཆེན་མོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
sgyu 'phrul chen mo'i rdzogs pa'i rim pa	སྒྱུ་འཕྲུལ་ཆེན་མོའི་རྫོགས་པའི་རིམ་པ
sgyu 'phrul chen mo'i rgyud kyi dka' 'grel sgyu ma can	སྒྱུ་འཕྲུལ་ཆེན་མོའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་སྒྱུ་མ་ཅན
sgyu 'phrul chen mo'i sgrub thabs	སྒྱུ་འཕྲུལ་ཆེན་མོའི་སྒྲུབ་ཐབས
sgyu 'phrul chen po 'chang	སྒྱུ་འཕྲུལ་ཆེན་པོ་འཆང
sgyu 'phrul chen po zla ba'i zhabs	སྒྱུ་འཕྲུལ་ཆེན་པོ་ཟླ་བའི་ཞབས
sgyu 'phrul dra ba	སྒྱུ་འཕྲུལ་དྲ་བ
sgyu 'phrul dra ba'i rgyud	སྒྱུ་འཕྲུལ་དྲ་བའི་རྒྱུད
sgyu 'phrul dra ba'i rim pa'i 'phags pa sbyan ras gzigs dbang phyag gi sgrub thabs	སྒྱུ་འཕྲུལ་དྲ་བའི་རིམ་པའི་འཕགས་པ་སྦྱན་རས་གཟིགས་དབང་ཕྱག་གི་སྒྲུབ་ཐབས
sgyu 'phrul dra ba'i tshul bstan pa	སྒྱུ་འཕྲུལ་དྲ་བའི་ཚུལ་བསྟན་པ
sgyu 'phrul gar	སྒྱུ་འཕྲུལ་གར
sgyu 'phrul rdo rje	སྒྱུ་འཕྲུལ་རྡོ་རྗེ
sgyu byed pa	སྒྱུ་བྱེད་པ
sgyu gnas	སྒྱུ་གནས
sgyu lus	སྒྱུ་ལུས
sgyu ma brtag pa gnyis pa'i dka' 'grel	སྒྱུ་མ་བརྟག་པ་གཉིས་པའི་དཀའ་འགྲེལ
sgyu ma bsgrubs	སྒྱུ་མ་བསྒྲུབས
sgyu ma byed pa	སྒྱུ་མ་བྱེད་པ
sgyu ma byed pa mkhas pa	སྒྱུ་མ་བྱེད་པ་མཁས་པ
sgyu ma bzhin du yod med bshad	སྒྱུ་མ་བཞིན་དུ་ཡོད་མེད་བཤད
sgyu ma chen mo zhes bya ba'i dka' 'grel	སྒྱུ་མ་ཆེན་མོ་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
sgyu ma dang sprul pa lta bu	སྒྱུ་མ་དང་སྤྲུལ་པ་ལྟ་བུ
sgyu ma glang po	སྒྱུ་མ་གླང་པོ
sgyu ma lta bu gnyis su med par smra ba	སྒྱུ་མ་ལྟ་བུ་གཉིས་སུ་མེད་པར་སྨྲ་བ
sgyu ma lta bur	སྒྱུ་མ་ལྟ་བུར
sgyu ma mkhan	སྒྱུ་མ་མཁན
sgyu ma mkhan gyi slob ma	སྒྱུ་མ་མཁན་གྱི་སློབ་མ
sgyu ma rigs grub pa	སྒྱུ་མ་རིགས་གྲུབ་པ
sgyu ma rmi lam 'dra ba	སྒྱུ་མ་རྨི་ལམ་འདྲ་བ
sgyu ma'ang	སྒྱུ་མའང
sgyu ma'i chos nyid nye bar bzung na	སྒྱུ་མའི་ཆོས་ཉིད་ཉེ་བར་བཟུང་ན
sgyu ma'i dra ba	སྒྱུ་མའི་དྲ་བ
sgyu ma'i las	སྒྱུ་མའི་ལས
sgyu ma'i nor	སྒྱུ་མའི་ནོར
sgyu ma'i rig pa	སྒྱུ་མའི་རིག་པ
sgyu ma'i rnam byas	སྒྱུ་མའི་རྣམ་བྱས
sgyu ma'i tshig	སྒྱུ་མའི་ཚིག
sgyu mar gyur pa	སྒྱུ་མར་གྱུར་པ
sgyu mkhan	སྒྱུ་མཁན
sgyu rtsal	སྒྱུ་རྩལ
sgyu rtsal cha ldan	སྒྱུ་རྩལ་ཆ་ལྡན
sgyu rtsal dang ldan	སྒྱུ་རྩལ་དང་ལྡན
sgyu rtsal dang rig pa dang bzo med pa'i chig	སྒྱུ་རྩལ་དང་རིག་པ་དང་བཟོ་མེད་པའི་ཆིག
sgyu rtsal mkhas	སྒྱུ་རྩལ་མཁས
sgyu rtsal rig pa'i tshig	སྒྱུ་རྩལ་རིག་པའི་ཚིག
sgyu rtsal yongs su bcad pa	སྒྱུ་རྩལ་ཡོངས་སུ་བཅད་པ
sgyu thabs	སྒྱུ་ཐབས
sgyud	སྒྱུད
sgyug mo'i skye bo	སྒྱུག་མོའི་སྐྱེ་བོ
sgyug mos bsrungs pa	སྒྱུག་མོས་བསྲུངས་པ
sgyur ba las byung ba	སྒྱུར་བ་ལས་བྱུང་བ
sgyur bar byed pa	སྒྱུར་བར་བྱེད་པ
shA kra bas ldags sel bar byed	ཤཱ་ཀྲ་བས་ལྡགས་སེལ་བར་བྱེད
shA na'i gos	ཤཱ་ནའི་གོས
shA ri bu	ཤཱ་རི་བུ
shA ri kA	ཤཱ་རི་ཀཱ
shAM Di lya	ཤཱཾ་ཌི་ལྱ
shAktika	ཤཱཀྟིཀ
shAkya 'od	ཤཱཀྱ་འོད
shAkya 'phel	ཤཱཀྱ་འཕེལ
shAkya brtson 'grus	ཤཱཀྱ་བརྩོན་འགྲུས
shAkya bshes gnyen	ཤཱཀྱ་བཤེས་གཉེན
shAkya lag na be con	ཤཱཀྱ་ལག་ན་བེ་ཅོན
shAkya rnams kyi gzhon nu	ཤཱཀྱ་རྣམས་ཀྱི་གཞོན་ནུ
shAkya shrI bzang po	ཤཱཀྱ་ཤྲཱི་བཟང་པོ
shAkya skyes mchog	ཤཱཀྱ་སྐྱེས་མཆོག
shAkya'i bu ma yin pa	ཤཱཀྱའི་བུ་མ་ཡིན་པ
shAkya'i bu'i	ཤཱཀྱའི་བུའི
shAkya'i grong	ཤཱཀྱའི་གྲོང
shAkya'i rgyal po'i rigs las 'khrungs	ཤཱཀྱའི་རྒྱལ་པོའི་རིགས་ལས་འཁྲུངས
shAkya'i seng ge	ཤཱཀྱའི་སེང་གེ
shAkya'i skyes mchog	ཤཱཀྱའི་སྐྱེས་མཆོག
shAkya'i slob ma	ཤཱཀྱའི་སློབ་མ
shAkya'i tshogs	ཤཱཀྱའི་ཚོགས
shAkya('i) blo	⟨shAkya('i)⟩་བློ
shAnti pa	ཤཱནྟི་པ
shArdI	ཤཱརྡཱི
shArdu la	ཤཱརྡུ་ལ
shU ka srin bu	ཤཱུ་ཀ་སྲིན་བུ
sha 'bri	ཤ་འབྲི
sha 'drul	ཤ་འདྲུལ
sha Na'i me tog	ཤ་ཎའི་མེ་ཏོག
sha Na'i ras	ཤ་ཎའི་རས
sha ba ra ro tra	ཤ་བ་ར་རོ་ཏྲ
sha ba ri pa	ཤ་བ་རི་པ
sha ba ri yi rked skabs	ཤ་བ་རི་ཡི་རྐེད་སྐབས
sha bsregs	ཤ་བསྲེགས
sha cher skyes las byung ba	ཤ་ཆེར་སྐྱེས་ལས་བྱུང་བ
sha chu	ཤ་ཆུ
sha chung	ཤ་ཆུང
sha dang 'dra ba	ཤ་དང་འདྲ་བ
sha g-yos sbos sbyar	ཤ་⟨g-yos⟩་སྦོས་སྦྱར
sha ga kun da ni	ཤ་ག་ཀུན་ད་ནི
sha gzi gu	ཤ་གཟི་གུ
sha ji skad du bza' bar bya	ཤ་ཇི་སྐད་དུ་བཟའ་བར་བྱ
sha ka Ta	ཤ་ཀ་ཊ
sha kha ra	ཤ་ཁ་ར
sha khon zhugs pa	ཤ་ཁོན་ཞུགས་པ
sha khrag	ཤ་ཁྲག
sha khu	ཤ་ཁུ
sha kon	ཤ་ཀོན
sha ku la'i bu	ཤ་ཀུ་ལའི་བུ
sha ku ni	ཤ་ཀུ་ནི
sha kya	ཤ་ཀྱ
sha kya thub pa	ཤ་ཀྱ་ཐུབ་པ
sha kya'i sras po ma yin	ཤ་ཀྱའི་སྲས་པོ་མ་ཡིན
sha lA Tu	ཤ་ལཱ་ཊུ
sha la chags pa	ཤ་ལ་ཆགས་པ
sha la lI	ཤ་ལ་ལཱི
sha len brlan	ཤ་ལེན་བརླན
sha lu	ཤ་ལུ
sha ma phru ma	ཤ་མ་ཕྲུ་མ
sha mdog	ཤ་མདོག
sha mdog dkar ~~	ཤ་མདོག་དཀར་⟨~~⟩
sha mi	ཤ་མི
sha mtshan	ཤ་མཚན
sha mtshan dpyad	ཤ་མཚན་དཔྱད
sha mya ka	ཤ་མྱ་ཀ
sha rA ri	ཤ་རཱ་རི
sha ra phyung	ཤ་ར་ཕྱུང
sha rar	ཤ་རར
sha rdog	ཤ་རྡོག
sha ri'i nags	ཤ་རིའི་ནགས
sha sbrang	ཤ་སྦྲང
sha skye	ཤ་སྐྱེ
sha stag du	ཤ་སྟག་དུ
sha ta puShpa	ཤ་ཏ་པུཥྤ
sha thang gso	ཤ་ཐང་གསོ
sha thang pa	ཤ་ཐང་པ
sha tra ba	ཤ་ཏྲ་བ
sha tshugs	ཤ་ཚུགས
sha ya na	ཤ་ཡ་ན
sha yi mchog	ཤ་ཡི་མཆོག
sha yi ri bo	ཤ་ཡི་རི་བོ
sha yi sa bon	ཤ་ཡི་ས་བོན
sha za 'dra ba	ཤ་ཟ་འདྲ་བ
sha za aa lu bi ni'i sgrub thabs	ཤ་ཟ་ཨ་ལུ་བི་ནིའི་སྒྲུབ་ཐབས
sha za ba'i nyes pa	ཤ་ཟ་བའི་ཉེས་པ
sha za bskal don du song ba'i gang zag	ཤ་ཟ་བསྐལ་དོན་དུ་སོང་བའི་གང་ཟག
sha za chen mo	ཤ་ཟ་ཆེན་མོ
sha za kha nag ma'i sgrub thabs	ཤ་ཟ་ཁ་ནག་མའི་སྒྲུབ་ཐབས
sha za nag po'i sgrub thabs	ཤ་ཟ་ནག་པོའི་སྒྲུབ་ཐབས
sha za'i gdon las thar bar byed pa'i man ngag	ཤ་ཟའི་གདོན་ལས་ཐར་བར་བྱེད་པའི་མན་ངག
sha … 'phel bar byed	ཤ་འཕེལ་བར་བྱེད
sha'i sde tshan	ཤའི་སྡེ་ཚན
sha'i spyan	ཤའི་སྤྱན
shad	ཤད
shad sbyang	ཤད་སྦྱང
shag shig med pa	ཤག་ཤིག་མེད་པ
shag ti	ཤག་ཏི
shal	ཤལ
shalma li nags	ཤལྨ་ལི་ནགས
shalya	ཤལྱ
sham bha la	ཤམ་བྷ་ལ
sham pa	ཤམ་པ
sham thab zlum po bgo ba	ཤམ་ཐབ་ཟླུམ་པོ་བགོ་བ
sham thab zlum po ~~	ཤམ་ཐབ་ཟླུམ་པོ་⟨~~⟩
shamba ra	ཤམྦ་ར
shan cig byed rkyen	ཤན་ཅིག་བྱེད་རྐྱེན
shan di la	ཤན་དི་ལ
shan ta de ba	ཤན་ཏ་དེ་བ
shang kAshya	ཤང་ཀཱཤྱ
shang khi ni	ཤང་ཁི་ནི
shang shang	ཤང་ཤང
shangs	ཤངས
shangs kyi rgyud	ཤངས་ཀྱི་རྒྱུད
shangs mtho ba	ཤངས་མཐོ་བ
shar 'char ba	ཤར་འཆར་བ
shar ba	ཤར་བ
shar ba 'char ba	ཤར་བ་འཆར་བ
shar ba yin	ཤར་བ་ཡིན
shar ba … rtsa ba	ཤར་བ་རྩ་བ
shar cha	ཤར་ཆ
shar chos	ཤར་ཆོས
shar dang nub dang ba lang spyod pa	ཤར་དང་ནུབ་དང་བ་ལང་སྤྱོད་པ
shar gling	ཤར་གླིང
shar gyi ri bo pa	ཤར་གྱི་རི་བོ་པ
shar gyi sum skor ma	ཤར་གྱི་སུམ་སྐོར་མ
shar gyi thig le	ཤར་གྱི་ཐིག་ལེ
shar la	ཤར་ལ
shar langs	ཤར་ལངས
shar ma	ཤར་མ
shar mor 'gro	ཤར་མོར་འགྲོ
shar nub	ཤར་ནུབ
shar phyogs mtho	ཤར་ཕྱོགས་མཐོ
shas	ཤས
shas che	ཤས་ཆེ
shas che'i nad	ཤས་ཆེའི་ནད
shas cher 'khrug pa	ཤས་ཆེར་འཁྲུག་པ
shas cher gnod byed	ཤས་ཆེར་གནོད་བྱེད
shas cher gyur pa	ཤས་ཆེར་གྱུར་པ
shas cher mi dbyung	ཤས་ཆེར་མི་དབྱུང
shas chung ngu'i lhag	ཤས་ཆུང་ངུའི་ལྷག
shas tsam	ཤས་ཙམ
she kha ri ka	ཤེ་ཁ་རི་ཀ
she na	ཤེ་ན
she pha	ཤེ་ཕ
she rab kyis	ཤེ་རབ་ཀྱིས
she rya ka gnyis	ཤེ་རྱ་ཀ་གཉིས
she sbyor ma	ཤེ་སྦྱོར་མ
shed	ཤེད
shed bye ba	ཤེད་བྱེ་བ
shed las skyes med pa	ཤེད་ལས་སྐྱེས་མེད་པ
shed ma bye	ཤེད་མ་བྱེ
shed ma bye ba	ཤེད་མ་བྱེ་བ
shed skyes	ཤེད་སྐྱེས
shee kSha	ཤེེ་ཀྵ
shee leya	ཤེེ་ལེཡ
shel gyi rdo'i gzhi	ཤེལ་གྱི་རྡོའི་གཞི
shel gyi ri	ཤེལ་གྱི་རི
shel gyi sa gzhi	ཤེལ་གྱི་ས་གཞི
shel mig	ཤེལ་མིག
shel shin tu gsal ba	ཤེལ་ཤིན་ཏུ་གསལ་བ
sher	ཤེར
sher ba	ཤེར་བ
sher phyin	ཤེར་ཕྱིན
sher phyin btags pa pa	ཤེར་ཕྱིན་བཏགས་པ་པ
sher phyin phyag bzhi ma	ཤེར་ཕྱིན་ཕྱག་བཞི་མ
sher rab mchog	ཤེར་རབ་མཆོག
shes 'dod	ཤེས་འདོད
shes 'dod chos can skyon med	ཤེས་འདོད་ཆོས་ཅན་སྐྱོན་མེད
shes bcu rnam dag 'chang ba po	ཤེས་བཅུ་རྣམ་དག་འཆང་བ་པོ
shes bgyi ba	ཤེས་བགྱི་བ
shes bya ba'i byir	ཤེས་བྱ་བའི་བྱིར
shes bya cig char snang bar byed pa	ཤེས་བྱ་ཅིག་ཆར་སྣང་བར་བྱེད་པ
shes bya kun mkhyen don gzigs zhabs	ཤེས་བྱ་ཀུན་མཁྱེན་དོན་གཟིགས་ཞབས
shes bya la phyin ci ma log pa	ཤེས་བྱ་ལ་ཕྱིན་ཅི་མ་ལོག་པ
shes bya la ye shes kyis khyab pa	ཤེས་བྱ་ལ་ཡེ་ཤེས་ཀྱིས་ཁྱབ་པ
shes bya las sngar	ཤེས་བྱ་ལས་སྔར
shes bya mi srid pa	ཤེས་བྱ་མི་སྲིད་པ
shes bya ste	ཤེས་བྱ་སྟེ
shes bya thams cad yul	ཤེས་བྱ་ཐམས་ཅད་ཡུལ
shes bya ~~	ཤེས་བྱ་⟨~~⟩
shes bya'i don	ཤེས་བྱའི་དོན
shes bya'i mtshan nyid	ཤེས་བྱའི་མཚན་ཉིད
shes byed kyi mdo dang sbyar	ཤེས་བྱེད་ཀྱི་མདོ་དང་སྦྱར
shes byed kyi rgyu	ཤེས་བྱེད་ཀྱི་རྒྱུ
shes byed rgyu	ཤེས་བྱེད་རྒྱུ
shes bzhin bsrung ba	ཤེས་བཞིན་བསྲུང་བ
shes bzhin dang ldan pa	ཤེས་བཞིན་དང་ལྡན་པ
shes bzhin gyis [brdzun	ཤེས་བཞིན་གྱིས་⟨[brdzun⟩
shes bzhin ma yin	ཤེས་བཞིན་མ་ཡིན
shes bzhin med pa	ཤེས་བཞིན་མེད་པ
shes bzhin yin pa	ཤེས་བཞིན་ཡིན་པ
shes bzhin ~~'i mtshan nyid do	ཤེས་བཞིན་⟨~~'i⟩་མཚན་ཉིད་དོ
shes dang mi shes	ཤེས་དང་མི་ཤེས
shes dgos pa	ཤེས་དགོས་པ
shes dgyes	ཤེས་དགྱེས
shes gsum	ཤེས་གསུམ
shes gyur	ཤེས་གྱུར
shes kyi khe	ཤེས་ཀྱི་ཁེ
shes kyi khe la song	ཤེས་ཀྱི་ཁེ་ལ་སོང
shes ldan gyi mdo	ཤེས་ལྡན་གྱི་མདོ
shes med	ཤེས་མེད
shes mig dang ldan	ཤེས་མིག་དང་ལྡན
shes myur	ཤེས་མྱུར
shes na	ཤེས་ན
shes nas dad pa thob pa	ཤེས་ནས་དད་པ་ཐོབ་པ
shes nyid	ཤེས་ཉིད
shes nyon sgrib pa	ཤེས་ཉོན་སྒྲིབ་པ
shes pa	ཤེས་པ
shes pa bkra	ཤེས་པ་བཀྲ
shes pa brda' sprod pa	ཤེས་པ་བརྡའ་སྤྲོད་པ
shes pa brgyad po rtogs pa 'chang	ཤེས་པ་བརྒྱད་པོ་རྟོགས་པ་འཆང
shes pa byed pa ma yin pa	ཤེས་པ་བྱེད་པ་མ་ཡིན་པ
shes pa dang mtshungs par ldan pa	ཤེས་པ་དང་མཚུངས་པར་ལྡན་པ
shes pa glo bur pa	ཤེས་པ་གློ་བུར་པ
shes pa la mkhas pa	ཤེས་པ་ལ་མཁས་པ
shes pa med pa	ཤེས་པ་མེད་པ
shes pa min pa las	ཤེས་པ་མིན་པ་ལས
shes pa po	ཤེས་པ་པོ
shes pa thams cad mthar phyin par grub pa'i mchod rten	ཤེས་པ་ཐམས་ཅད་མཐར་ཕྱིན་པར་གྲུབ་པའི་མཆོད་རྟེན
shes pa yang med	ཤེས་པ་ཡང་མེད
shes pa'i kun rdzob	ཤེས་པའི་ཀུན་རྫོབ
shes pa'i skad cig ma'i rgyun	ཤེས་པའི་སྐད་ཅིག་མའི་རྒྱུན
shes pa'i snang bar byed	ཤེས་པའི་སྣང་བར་བྱེད
shes pa'i spyod yul	ཤེས་པའི་སྤྱོད་ཡུལ
shes par 'gyur ba	ཤེས་པར་འགྱུར་བ
shes par 'gyur la	ཤེས་པར་འགྱུར་ལ
shes par bya ba'i gang chen mtsho	ཤེས་པར་བྱ་བའི་གང་ཆེན་མཚོ
shes par bya'o	ཤེས་པར་བྱའོ
shes par byas pa	ཤེས་པར་བྱས་པ
shes par byed du bcug pa	ཤེས་པར་བྱེད་དུ་བཅུག་པ
shes par byed pa	ཤེས་པར་བྱེད་པ
shes par dka' ba	ཤེས་པར་དཀའ་བ
shes par dka' ba nyid	ཤེས་པར་དཀའ་བ་ཉིད
shes par gyis shog	ཤེས་པར་གྱིས་ཤོག
shes par gyur pa	ཤེས་པར་གྱུར་པ
shes par mdzod	ཤེས་པར་མཛོད
shes pas srid la mi gnas	ཤེས་པས་སྲིད་ལ་མི་གནས
shes rab 'byung gnas	ཤེས་རབ་འབྱུང་གནས
shes rab 'chal ba'i rang bzhin can	ཤེས་རབ་འཆལ་བའི་རང་བཞིན་ཅན
shes rab 'gros	ཤེས་རབ་འགྲོས
shes rab 'od gsal	ཤེས་རབ་འོད་གསལ
shes rab 'phags pa 'jig rten las 'das pa	ཤེས་རབ་འཕགས་པ་འཇིག་རྟེན་ལས་འདས་པ
shes rab 'phel bar byed pa	ཤེས་རབ་འཕེལ་བར་བྱེད་པ
shes rab can mchog shA ri'i bu	ཤེས་རབ་ཅན་མཆོག་ཤཱ་རིའི་བུ
shes rab che ba	ཤེས་རབ་ཆེ་བ
shes rab chen po lus 'chang ba	ཤེས་རབ་ཆེན་པོ་ལུས་འཆང་བ
shes rab dang ye shes chen po'i nyi ma shar ba ~~lags shing	ཤེས་རབ་དང་ཡེ་ཤེས་ཆེན་པོའི་ཉི་མ་ཤར་བ་⟨~~lags⟩་ཤིང
shes rab dang ye shes kyi mtshan nyid	ཤེས་རབ་དང་ཡེ་ཤེས་ཀྱི་མཚན་ཉིད
shes rab dpal	ཤེས་རབ་དཔལ
shes rab dri ma med pa	ཤེས་རབ་དྲི་མ་མེད་པ
shes rab grub	ཤེས་རབ་གྲུབ
shes rab gsang ba'i zhabs	ཤེས་རབ་གསང་བའི་ཞབས
shes rab gyi tshogs	ཤེས་རབ་གྱི་ཚོགས
shes rab khri pa	ཤེས་རབ་ཁྲི་པ
shes rab kyi 'od zer	ཤེས་རབ་ཀྱི་འོད་ཟེར
shes rab kyi go sgrub	ཤེས་རབ་ཀྱི་གོ་སྒྲུབ
shes rab kyi pha rol tu phyin ma	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མ
shes rab kyi pha rol tu phyin pa	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ
shes rab kyi pha rol tu phyin pa brgyad stong pa'i bshad pa mngon par rtogs pa'i rgyan gyi snang ba	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བརྒྱད་སྟོང་པའི་བཤད་པ་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་སྣང་བ
shes rab kyi pha rol tu phyin pa gnyis stong lnga brgya pa/ rab kyi tshal gyis rnam par gnon pas zhus pa/	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་གཉིས་སྟོང་ལྔ་བརྒྱ་པ། རབ་ཀྱི་ཚལ་གྱིས་རྣམ་པར་གནོན་པས་ཞུས་པ།
shes rab kyi pha rol tu phyin pa stong phrag nyi shu lnga pa'i man ngag gi bstan bcos mngon par rtogs pa'i rgyan gyi 'grel pa	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པའི་མན་ངག་གི་བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ
shes rab kyi pha rol tu phyin pa'i mdo	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མདོ
shes rab kyi phrin yig	ཤེས་རབ་ཀྱི་ཕྲིན་ཡིག
shes rab kyi phung po	ཤེས་རབ་ཀྱི་ཕུང་པོ
shes rab kyi stobs	ཤེས་རབ་ཀྱི་སྟོབས
shes rab kyi tshogs sgrub	ཤེས་རབ་ཀྱི་ཚོགས་སྒྲུབ
shes rab kyis ni de nyid thob	ཤེས་རབ་ཀྱིས་ནི་དེ་ཉིད་ཐོབ
shes rab ldan pa	ཤེས་རབ་ལྡན་པ
shes rab ma smin pa'i sems can	ཤེས་རབ་མ་སྨིན་པའི་སེམས་ཅན
shes rab ma ~~'i sems can rnams la	ཤེས་རབ་མ་⟨~~'i⟩་སེམས་ཅན་རྣམས་ལ
shes rab mdzod	ཤེས་རབ་མཛོད
shes rab me tog	ཤེས་རབ་མེ་ཏོག
shes rab med	ཤེས་རབ་མེད
shes rab mtshon chas rnam 'joms pa	ཤེས་རབ་མཚོན་ཆས་རྣམ་འཇོམས་པ
shes rab nyams pa med pa	ཤེས་རབ་ཉམས་པ་མེད་པ
shes rab nyes pa	ཤེས་རབ་ཉེས་པ
shes rab nyon mongs pa can	ཤེས་རབ་ཉོན་མོངས་པ་ཅན
shes rab pha rol phyin la brtson par bya	ཤེས་རབ་ཕ་རོལ་ཕྱིན་ལ་བརྩོན་པར་བྱ
shes rab pha rol phyin mchog	ཤེས་རབ་ཕ་རོལ་ཕྱིན་མཆོག
shes rab pha rol phyin pa mchog don lta	ཤེས་རབ་ཕ་རོལ་ཕྱིན་པ་མཆོག་དོན་ལྟ
shes rab pha rol phyin sbyor	ཤེས་རབ་ཕ་རོལ་ཕྱིན་སྦྱོར
shes rab rgyal mtshan	ཤེས་རབ་རྒྱལ་མཚན
shes rab rin po che dang ldan pa	ཤེས་རབ་རིན་པོ་ཆེ་དང་ལྡན་པ
shes rab rnam par mi rtog nyid	ཤེས་རབ་རྣམ་པར་མི་རྟོག་ཉིད
shes rab rnam rgod nga ro	ཤེས་རབ་རྣམ་རྒོད་ང་རོ
shes rab sbyangs pa	ཤེས་རབ་སྦྱངས་པ
shes rab sdong po	ཤེས་རབ་སྡོང་པོ
shes rab seng ge	ཤེས་རབ་སེང་གེ
shes rab sgron ma zhes bya ba'i ting nge 'dzin	ཤེས་རབ་སྒྲོན་མ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན
shes rab skyed pa	ཤེས་རབ་སྐྱེད་པ
shes rab snang ba	ཤེས་རབ་སྣང་བ
shes rab snying po	ཤེས་རབ་སྙིང་པོ
shes rab spyod	ཤེས་རབ་སྤྱོད
shes rab stobs chung ba	ཤེས་རབ་སྟོབས་ཆུང་བ
shes rab thar pa	ཤེས་རབ་ཐར་པ
shes rab tu yongs su bsngos pa'i sgo nas	ཤེས་རབ་ཏུ་ཡོངས་སུ་བསྔོས་པའི་སྒོ་ནས
shes rab ye shes me bo	ཤེས་རབ་ཡེ་ཤེས་མེ་བོ
shes rab yongs su dag pa	ཤེས་རབ་ཡོངས་སུ་དག་པ
shes rab yongs su nyams pa	ཤེས་རབ་ཡོངས་སུ་ཉམས་པ
shes rab zab pa	ཤེས་རབ་ཟབ་པ
