!! zhugs nyid	⟨!!⟩་ཞུགས་ཉིད
!!don du	⟨!!don⟩་དུ
!!lcags sgrog ma	⟨!!lcags⟩་སྒྲོག་མ
!!mdog dbyibs can	⟨!!mdog⟩་དབྱིབས་ཅན
!!mid par byed pa	⟨!!mid⟩་པར་བྱེད་པ
!!ming can	⟨!!ming⟩་ཅན
!!mtshon cha can	⟨!!mtshon⟩་ཆ་ཅན
!!ra bcas	⟨!!ra⟩་བཅས
!!rnam pa can	⟨!!rnam⟩་པ་ཅན
!!snod du gyur	⟨!!snod⟩་དུ་གྱུར
!!theg pa pa	⟨!!theg⟩་པ་པ
'am ci	འམ་ཅི
'byung po 'dzin ma	འབྱུང་པོ་འཛིན་མ
'byung po 'gugs pa'i sgrub pa rdo rje lcags kyu	འབྱུང་པོ་འགུགས་པའི་སྒྲུབ་པ་རྡོ་རྗེ་ལྕགས་ཀྱུ
'byung po kun la brtse	འབྱུང་པོ་ཀུན་ལ་བརྩེ
'byung po mang po	འབྱུང་པོ་མང་པོ
'byung po'i dbang po	འབྱུང་པོའི་དབང་པོ
'byung po'i dga' ma	འབྱུང་པོའི་དགའ་མ
'byung po'i gdon	འབྱུང་པོའི་གདོན
'byung po'i gnas	འབྱུང་པོའི་གནས
'byung po'i ma mo ~~	འབྱུང་པོའི་མ་མོ་⟨~~⟩
'byung po'i rten	འབྱུང་པོའི་རྟེན
'byung po'i skad kyi rang bzhin	འབྱུང་པོའི་སྐད་ཀྱི་རང་བཞིན
'byung por phan pa'i rang bzhin	འབྱུང་པོར་ཕན་པའི་རང་བཞིན
'byung yod	འབྱུང་ཡོད
'cha' ba'i rigs su gnas pa'i sems pa	འཆའ་བའི་རིགས་སུ་གནས་པའི་སེམས་པ
'cha' bar mdzad pa	འཆའ་བར་མཛད་པ
'chab	འཆབ
'chab bcas	འཆབ་བཅས
'chab cing	འཆབ་ཅིང
'chab par mi byed kyi	འཆབ་པར་མི་བྱེད་ཀྱི
'chad 'dod	འཆད་འདོད
'chad 'gyur ltar	འཆད་འགྱུར་ལྟར
'chad la mkhas pa	འཆད་ལ་མཁས་པ
'chad pa'i lugs	འཆད་པའི་ལུགས
'chad pa'i rgyu mtsha	འཆད་པའི་རྒྱུ་མཚ
'chad pa'i tshe	འཆད་པའི་ཚེ
'chad par 'gyur	འཆད་པར་འགྱུར
'chad rtsod rtsom pa	འཆད་རྩོད་རྩོམ་པ
'chag cing	འཆག་ཅིང
'chag khang	འཆག་ཁང
'chag tu 'jug pa	འཆག་ཏུ་འཇུག་པ
'chag(s) sar byas pa	⟨'chag(s)⟩་སར་བྱས་པ
'chags	འཆགས
'chags par 'gyur	འཆགས་པར་འགྱུར
'chags par byed pa	འཆགས་པར་བྱེད་པ
'chal	འཆལ
'chal ba tshul khrims	འཆལ་བ་ཚུལ་ཁྲིམས
'chal ba'i khrims	འཆལ་བའི་ཁྲིམས
'chal pa'i shob	འཆལ་པའི་ཤོབ
'chal pa'i tshul khrims	འཆལ་པའི་ཚུལ་ཁྲིམས
'chams	འཆམས
'chang bar 'gyur ba	འཆང་བར་འགྱུར་བ
'chang byed pa	འཆང་བྱེད་པ
'chang slong	འཆང་སློང
'char ba thob par 'gyur	འཆར་བ་ཐོབ་པར་འགྱུར
'char byed	འཆར་བྱེད
'char byed cing	འཆར་བྱེད་ཅིང
'char rgyal	འཆར་རྒྱལ
'char rkyen pa	འཆར་རྐྱེན་པ
'chas pa	འཆས་པ
'chems pa	འཆེམས་པ
'ches	འཆེས
'ches 'che ba	འཆེས་འཆེ་བ
'chi	འཆི
'chi 'pho ba yang ma yin	འཆི་འཕོ་བ་ཡང་མ་ཡིན
'chi 'pho dang skye ba	འཆི་འཕོ་དང་སྐྱེ་བ
'chi ba 'tshol ba	འཆི་བ་འཚོལ་བ
'chi ba bslu ba'i man ngag	འཆི་བ་བསླུ་བའི་མན་ངག
'chi ba byed	འཆི་བ་བྱེད
'chi ba dag tu'ang 'gyur	འཆི་བ་དག་ཏུའང་འགྱུར
'chi ba dang 'pho ba	འཆི་བ་དང་འཕོ་བ
'chi ba dran pa	འཆི་བ་དྲན་པ
'chi ba dran pa bsgom pa'i phan yon	འཆི་བ་དྲན་པ་བསྒོམ་པའི་ཕན་ཡོན
'chi ba las rgyal ba	འཆི་བ་ལས་རྒྱལ་བ
'chi ba med pa'i grong khyer	འཆི་བ་མེད་པའི་གྲོང་ཁྱེར
'chi ba mi rtag pa	འཆི་བ་མི་རྟག་པ
'chi ba'i dus	འཆི་བའི་དུས
'chi ba'i dus byas pa	འཆི་བའི་དུས་བྱས་པ
'chi ba'i dus byas su 'ong ngo	འཆི་བའི་དུས་བྱས་སུ་འོང་ངོ
'chi ba'i dus su gyur nas	འཆི་བའི་དུས་སུ་གྱུར་ནས
'chi ba'i mtshams	འཆི་བའི་མཚམས
'chi ba'i skabs	འཆི་བའི་སྐབས
'chi ba'i srid pa	འཆི་བའི་སྲིད་པ
'chi ba'i tshe	འཆི་བའི་ཚེ
'chi ba'i ~~	འཆི་བའི་⟨~~⟩
'chi bar 'gyur	འཆི་བར་འགྱུར
'chi bar 'gyur ba	འཆི་བར་འགྱུར་བ
'chi bar 'gyur ba'i dus kyi tshe mya ngan chen po ldang bar 'gyur	འཆི་བར་འགྱུར་བའི་དུས་ཀྱི་ཚེ་མྱ་ངན་ཆེན་པོ་ལྡང་བར་འགྱུར
'chi bar byed pa	འཆི་བར་བྱེད་པ
'chi bas bzung zhing	འཆི་བས་བཟུང་ཞིང
'chi bdag	འཆི་བདག
'chi bdag gi bdud	འཆི་བདག་གི་བདུད
'chi bdag yi dvags rgyal po'i sgrub thabs	འཆི་བདག་ཡི་⟨dvags⟩་རྒྱལ་པོའི་སྒྲུབ་ཐབས
'chi bslu ba'i sgrol ma'i sgrub thabs	འཆི་བསླུ་བའི་སྒྲོལ་མའི་སྒྲུབ་ཐབས
'chi dus	འཆི་དུས
'chi ltas	འཆི་ལྟས
'chi med bdag po	འཆི་མེད་བདག་པོ
'chi med dbang mo	འཆི་མེད་དབང་མོ
'chi med dbang po	འཆི་མེད་དབང་པོ
'chi med grong gi bu mo	འཆི་མེད་གྲོང་གི་བུ་མོ
'chi med rdo rje lha mo	འཆི་མེད་རྡོ་རྗེ་ལྷ་མོ
'chi med shing 'bras	འཆི་མེད་ཤིང་འབྲས
'chi na'ang	འཆི་ནའང
'chi sbyor	འཆི་སྦྱོར
'chi tshad	འཆི་ཚད
'chi tshe	འཆི་ཚེ
'chim bu	འཆིམ་བུ
'ching ba bcad pa	འཆིང་བ་བཅད་པ
'ching ba dam pa	འཆིང་བ་དམ་པ
'ching ba mtha' dag gis bcings pa	འཆིང་བ་མཐའ་དག་གིས་བཅིངས་པ
'ching ba rnam grol gyi man ngag	འཆིང་བ་རྣམ་གྲོལ་གྱི་མན་ངག
'ching ba'i nyon mongs ldan pa	འཆིང་བའི་ཉོན་མོངས་ལྡན་པ
'ching ba'i rgyu	འཆིང་བའི་རྒྱུ
'ching bar byed pa	འཆིང་བར་བྱེད་པ
'ching byed ma	འཆིང་བྱེད་མ
'ching byed thag pa	འཆིང་བྱེད་ཐག་པ
'ching grol	འཆིང་གྲོལ
'ching thag	འཆིང་ཐག
'chings	འཆིངས
'cho thabs	འཆོ་ཐབས
'chol ba med pa	འཆོལ་བ་མེད་པ
'chong ba	འཆོང་བ
'chor bar	འཆོར་བར
'chor pa	འཆོར་པ
'chos	འཆོས
'chos pa	འཆོས་པ
'chu(s)	⟨'chu(s)⟩
'chun	འཆུན
'chus pa	འཆུས་པ
'da' ba	འདའ་བ
'da' bar bya	འདའ་བར་བྱ
'da' bar bya ba	འདའ་བར་བྱ་བ
'da' bar dka' ba	འདའ་བར་དཀའ་བ
'da' bar mdzad pa	འདའ་བར་མཛད་པ
'da' bar mi byed	འདའ་བར་མི་བྱེད
'da' bar ~~	འདའ་བར་⟨~~⟩
'da' dka'	འདའ་དཀའ
'da' gyur	འདའ་གྱུར
'da' ka ye shes	འདའ་ཀ་ཡེ་ཤེས
