# pyewts.toWylie reference fixtures (OpenPecha/pyewts master, Apache-2.0)
# inputs: hgm_dictionary_v27_2 tibetan column + strided 84000 TM native unicode
ཀ	ka
བྱང་ཆུབ་སེམས་དཔའ་ཁྱད་པར་དུ་འགྲོ་བས་གསོལ་པ།	byang chub sems dpa' khyad par du 'gro bas gsol pa/
འདི་ལྟ་སྟེ། བྱང་ཆུབ་ཀྱི་སེམས་བརྗེད་པ་མེད་ཅིང་བག་ཡོད་པ་སྟེ།	'di lta ste/_byang chub kyi sems brjed pa med cing bag yod pa ste/
གཞན་ཡང་ཆོས་གཅིག་སྟེ། རྗེས་སུ་འཐུན་པའི་ཆོས་ཀྱི་བཟོད་པའོ། །	gzhan yang chos gcig ste/_rjes su 'thun pa'i chos kyi bzod pa'o/_/
གཅེས་སྤྲས་བྱེད་པའི་ཆོས་གཉིས་ཏེ། ཡོངས་སུ་བསྔོ་བ་ལ་མཁས་པ་དང་། སེམས་ཅན་ཐམས་ཅད་དང་ཐུན་མོང་དུ་ཡོངས་སུ་བསྔོ་བའོ། །	gces spras byed pa'i chos gnyis te/_yongs su bsngo ba la mkhas pa dang /_sems can thams cad dang thun mong du yongs su bsngo ba'o/_/
གཞན་ཡང་གསུམ་སྟེ། ཐོས་པ་ཡོངས་སུ་འཛིན་པ་དང་། ཚིག་དང་ཡི་གེ་རྣམས་འཛིན་པ་དང་། སྒྲ་ལ་སྔོན་གྱི་མཐའ་དང་ཕྱི་མའི་མཐའ་ཡོངས་སུ་ཆད་པར་ཤེས་པའོ། །	gzhan yang gsum ste/_thos pa yongs su 'dzin pa dang /_tshig dang yi ge rnams 'dzin pa dang /_sgra la sngon gyi mtha' dang phyi ma'i mtha' yongs su chad par shes pa'o/_/
སྟེང་གི་བར་སྣང་ལ་འཁོད་པའི་ལྷའི་བུ་བརྒྱད་སྟོང་དག་ཀྱང་ཨ་ལ་ལ་ཞེས་ཅ་ཅོ་དང་ག་ཞའི་སྒྲ་ཕྱུང་སྟེ། མེ་ཏོག་དག་གི་ཆར་ཡང་རབ་ཏུ་ཕབ། སིལ་སྙན་དང་གླུ་དབྱངས་ཀྱང་བྱས་ཏེ།	steng gi bar snang la 'khod pa'i lha'i bu brgyad stong dag kyang a la la zhes ca co dang ga zha'i sgra phyung ste/_me tog dag gi char yang rab tu phab/_sil snyan dang glu dbyangs kyang byas te/
ཐེག་པ་མཆོག་ལ་གནས་པའི་བརྩོན་འགྲུས་མཐུ་འདི་འདྲ། །	theg pa mchog la gnas pa'i brtson 'grus mthu 'di 'dra/_/
བློ་གྲོས་རྒྱ་མཚོ་བྱང་ཆུབ་སེམས་དཔའ་ཕྱག་རྒྱ་དེ་ལྟ་བུས་བཏབ་ན་དེ་བཞིན་གཤེགས་པའི་ཡེ་ཤེས་ཀྱི་ཕྱག་རྒྱར་ཡང་དག་པར་འདུ་སྟེ་མྱུར་དུ་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་འཐོབ་པའོ། །	blo gros rgya mtsho byang chub sems dpa' phyag rgya de lta bus btab na de bzhin gshegs pa'i ye shes kyi phyag rgyar yang dag par 'du ste myur du mi skye ba'i chos la bzod pa rab tu 'thob pa'o/_/
བཅོམ་ལྡན་འདས་སྡིག་པ་མི་དགེ་བའི་ཆོས་དེ་དག་སྤང་བའི་སླད་དུ་སངས་རྒྱས་བྱུང་བ་ལགས་ཀྱི་བཅོམ་ལྡན་འདས་སངས་རྒྱས་བྱུང་བ་གཉེན་པོས་རབ་ཏུ་ཕྱེ་བ་ནི་མ་ལགས་ཏེ།	bcom ldan 'das sdig pa mi dge ba'i chos de dag spang ba'i slad du sangs rgyas byung ba lags kyi bcom ldan 'das sangs rgyas byung ba gnyen pos rab tu phye ba ni ma lags te/
གསོལ་པ། བཅོམ་ལྡན་འདས་མི་གང་རྡོ་རྗེའི་གོ་ཆ་འཚལ་ནས་ཞུགས་འབར་བའི་ནང་དུ་མཆོངས་པ་དེ་ནི་རྡོ་རྗེའི་གོ་ཆ་དེས་ཡོངས་སུ་བསྲུངས་པས་ཞུགས་ཀྱི་ནང་དུ་མཆིས་ཀྱང་མི་འཚིག་གོ། །	gsol pa/_bcom ldan 'das mi gang rdo rje'i go cha 'tshal nas zhugs 'bar ba'i nang du mchongs pa de ni rdo rje'i go cha des yongs su bsrungs pas zhugs kyi nang du mchis kyang mi 'tshig go/_/
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། བློ་གྲོས་རྒྱ་མཚོ་འདི་ལྟར་ཉོན་མོངས་པ་དེ་ལྟ་བུ་དེ་དག་གིས་བྱང་ཆུབ་སེམས་དཔའ་ཁམས་གསུམ་དང་འདྲེ་ཞིང་ཁམས་གསུམ་པ་ནི་	bcom ldan 'das kyis bka' stsal pa/_blo gros rgya mtsho 'di ltar nyon mongs pa de lta bu de dag gis byang chub sems dpa' khams gsum dang 'dre zhing khams gsum pa ni 
འཇིག་རྟེན་གྱི་ཁམས་དེ་ནི་གསེར་དང་དངུལ་དང་ཤེལ་དང་བཻ་དཱུརྱ་དང་རིན་པོ་ཆེ་སྣ་བཞི་ལས་གྲུབ་པར་གྱུར་ཏོ། །	'jig rten gyi khams de ni gser dang dngul dang shel dang bai dUr+ya dang rin po che sna bzhi las grub par gyur to/_/
དེ་ནས་བྱ་རྒོད་ཀྱི་རྒྱལ་པོ་སྤུ་གྲི་བ་ཞེས་བྱ་བ་སྟེང་གི་བར་སྣང་ལས་བབས་ཏེ་སྤྲེའུའི་ཕྲུ་གུ་དེ་གཉིས་བླངས་ནས་སྟེང་གི་བར་སྣང་ལ་གནས་པར་གྱུར་པ་དང་། རི་དགས་ཀྱི་རྒྱལ་པོ་སེང་གེས་བྱ་རྒོད་ཀྱི་རྒྱལ་པོ་སྤུ་གྲི་བས་སྤྲེའུའི་ཕྲུ་གུ་དེ་གཉིས་ཁྱེར་བ་མཐོང་ངོ་། །	de nas bya rgod kyi rgyal po spu gri ba zhes bya ba steng gi bar snang las babs te spre'u'i phru gu de gnyis blangs nas steng gi bar snang la gnas par gyur pa dang /_ri dgas kyi rgyal po seng ges bya rgod kyi rgyal po spu gri bas spre'u'i phru gu de gnyis khyer ba mthong ngo /_/
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔས་ཡང་དག་པའི་སྦྱོར་བ་ལ་བརྩོན་པར་བགྱིའོ། །	bcom ldan 'das byang chub sems dpas yang dag pa'i sbyor ba la brtson par bgyi'o/_/
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའི་བསམ་གཏན་དང་རབ་ཏུ་ལྡན་པའི་བདུད་ཀྱི་ལྕགས་ཀྱུ་སྟེ་ལྔ་པའོ། །	bcom ldan 'das byang chub sems dpa'i bsam gtan dang rab tu ldan pa'i bdud kyi lcags kyu ste lnga pa'o/_/
བློ་གྲོས་རྒྱ་མཚོ་དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་བྱང་ཆུབ་སེམས་དཔའ་དག་གང་ལ་གནས་ན་བདུད་ཀྱི་ལྕགས་ཀྱུ་ཐམས་ཅད་ལས་ཤིན་ཏུ་འདའ་བར་འགྱུར་བ་བདུད་ཀྱི་ལྕགས་ཀྱུ་རབ་ཏུ་གཅོད་པའི་ཆོས་ཀྱི་སྒོ་ཁྱོད་ལ་བཤད་དོ། །	blo gros rgya mtsho de'i phyir legs par rab tu nyon la yid la zung shig dang byang chub sems dpa' dag gang la gnas na bdud kyi lcags kyu thams cad las shin tu 'da' bar 'gyur ba bdud kyi lcags kyu rab tu gcod pa'i chos kyi sgo khyod la bshad do/_/
སེམས་ཅན་རྣམས་ཀྱི་དགེ་བའི་རྩ་བའི་བར་ཆད་བྱ་བའི་ཕྱིར་ཞུགས་པ་ལས། ཁོ་བོ་ཅག་དེ་བཞིན་གཤེགས་པས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། །	sems can rnams kyi dge ba'i rtsa ba'i bar chad bya ba'i phyir zhugs pa las/_kho bo cag de bzhin gshegs pas bla na med pa yang dag par rdzogs pa'i byang chub tu sems bskyed do/_/
བཅོམ་ལྡན་འདས་བདག་དེང་སླན་ཆད་བདུད་ཀྱི་སུག་ལས་ཐམས་ཅད་འདོར་རོ། །	bcom ldan 'das bdag deng slan chad bdud kyi sug las thams cad 'dor ro/_/
གང་དག་ཆོས་ཀྱི་ཚུལ་ནི་འདི་འཛིན་པ། །དེ་དག་ལ་ནི་བདག་ཅག་བསྙེན་བཀུར་བགྱི། །	gang dag chos kyi tshul ni 'di 'dzin pa/_/de dag la ni bdag cag bsnyen bkur bgyi/_/
ཕྱོགས་དང་ཕྱོགས་མཚམས་རྣམས་སུ་དེའི་བསྔགས་པ་རྗོད་ཅིང་དེ་ལ་ཕ་རོལ་གྱི་གནོད་པའི་འཇིགས་པ་ཐམས་ཅད་མེད་པ་ཡིན་ནོ། །	phyogs dang phyogs mtshams rnams su de'i bsngags pa rjod cing de la pha rol gyi gnod pa'i 'jigs pa thams cad med pa yin no/_/
དེ་དག་ཤས་ཆེར་བསྟེན་ཅིང་བསྒོམས་ཏེ་མང་དུ་བྱས་ན་སེམས་ཅན་དམྱལ་བའི་རྒྱུའོ། །	de dag shas cher bsten cing bsgoms te mang du byas na sems can dmyal ba'i rgyu'o/_/
འཕགས་པ་ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །།	'phags pa klu'i rgyal po rgya mtshos zhus pa zhes bya ba theg pa chen po'i mdo rdzogs so//_//
དཀོན་མཆོག་གསུམ་པོ་འདི་ལྟ་སྟེ། སངས་རྒྱས་དཀོན་མཆོག་དང་། ཆོས་དཀོན་མཆོག་དང་། དགེ་འདུན་དཀོན་མཆོག་གི་བསྔགས་པ་རྒྱུན་དུ་བརྗོད་པ་དང་། ཆོས་འདོད་པ་རྣམས་གཡེངས་པར་མི་བྱེད་པ་དང་། གཞན་དག་གི་འགྱོད་པ་མི་སྐྱེད་པ་དང་། སེམས་ཅན་འགྱོད་ཅིང་འདུག་པ་རྣམས་ཀྱི་འགྱོད་པ་སེལ་བ་སྟེ།	dkon mchog gsum po 'di lta ste/_sangs rgyas dkon mchog dang /_chos dkon mchog dang /_dge 'dun dkon mchog gi bsngags pa rgyun du brjod pa dang /_chos 'dod pa rnams g.yengs par mi byed pa dang /_gzhan dag gi 'gyod pa mi skyed pa dang /_sems can 'gyod cing 'dug pa rnams kyi 'gyod pa sel ba ste/
བཅུ་པོ་དེ་དག་གོ།	bcu po de dag go/
།ཀླུའི་བདག་པོ་གཞན་ཡང་ཆོས་གསུམ་དང་ལྡན་ན་བྱང་ཆུབ་སེམས་དཔའི་བཟོད་པ་ཐོབ་པ་ཡིན་ཏེ།	/klu'i bdag po gzhan yang chos gsum dang ldan na byang chub sems dpa'i bzod pa thob pa yin te/
འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་ཤེས་རབ་ཀྱི་གནས་ལ་གནས་པའི་བསམ་གཏན་ནོ།	'di ni byang chub sems dpa' shes rab kyi gnas la gnas pa'i bsam gtan no/
།དེ་ཡང་ཀུན་རྫོབ་ཀྱི་གཞིའི་གནས་ལས་བརྟེན་པ་ཡིན་གྱི་དོན་དམ་པར་ནི་ཇི་ལྟར་ཡང་སངས་རྒྱས་ཀྱི་གསུང་ཐ་སྙད་དུ་གདགས་པར་མི་ནུས་ཏེ། སངས་རྒྱས་ཀྱི་གསུང་ནི་ཚིག་མེད་པའོ།	/de yang kun rdzob kyi gzhi'i gnas las brten pa yin gyi don dam par ni ji ltar yang sangs rgyas kyi gsung tha snyad du gdags par mi nus te/_sangs rgyas kyi gsung ni tshig med pa'o/
།ཀླུའི་བདག་པོ་བཞི་པོ་འདི་དག་ནི་མི་ཟད་པའི་ཟ་མ་ཏོག་གི་གཟུངས་ལ་མི་འཇིགས་པ་ཐོབ་པ་སྟེ།	/klu'i bdag po bzhi po 'di dag ni mi zad pa'i za ma tog gi gzungs la mi 'jigs pa thob pa ste/
།བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན་གྱི་ལྟོ་བ་དང་ལྡན་པའོ།	/byang chub kyi yan lag bdun gyi lto ba dang ldan pa'o/
།ཀླུའི་བདག་པོ་ངེས་པའི་ཚིག་གི་ཚིག་དང་། བརྡའི་ཚིག་གི་ཚིག་འདི་དག་ནི་སངས་རྒྱས་ཀྱི་ཞིང་གཞན་དང་གཞན་དག་ཏུ་འབྱུང་སྟེ།	/klu'i bdag po nges pa'i tshig gi tshig dang /_brda'i tshig gi tshig 'di dag ni sangs rgyas kyi zhing gzhan dang gzhan dag tu 'byung ste/
ཀླུའི་རྒྱལ་པོ་དེའི་ཚེ་དེའི་དུས་ན་ཁྱོད་ཉིད་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་བསོད་ནམས་མི་ཟད་པ་ཞེས་བྱ་བར་གྱུར་ཏོ།	klu'i rgyal po de'i tshe de'i dus na khyod nyid 'khor los sgyur ba'i rgyal po bsod nams mi zad pa zhes bya bar gyur to/
།དེ་ལ་ལྟ་བས་སྐྱེ་བོ་ཆོག་མི་ཤེས།	/de la lta bas skye bo chog mi shes/
ཤི་འཕོས་ནས་ཀླུའི་སྐྱེ་གནས་རྣམས་སུ་སྐྱེ་ཞིང་སྐྱེ་བར་འགྱུར་ཏེ།	shi 'phos nas klu'i skye gnas rnams su skye zhing skye bar 'gyur te/
།རྒྱལ་བའི་བཀའ་ནི་གཞན་དུ་ཡོང་མི་གསུང་།	/rgyal ba'i bka' ni gzhan du yong mi gsung /
།ལྷའི་བུ་མོ་བྱེ་བ་ཕྲག་དྲུག་ཅུ་ནི་བཅོམ་ལྡན་འདས་ཀྱི་ཤུལ་སྤོས་ཆུས་ཆག་ཆག་འདེབས་སོ།	/lha'i bu mo bye ba phrag drug cu ni bcom ldan 'das kyi shul spos chus chag chag 'debs so/
འདི་དག་ཐམས་ཅད་ནི་དགེ་བ་མངོན་པར་འདུ་བྱེད་པས་མངོན་པར་འདུས་བྱས་པ་བརྒྱན་པ།	'di dag thams cad ni dge ba mngon par 'du byed pas mngon par 'dus byas pa brgyan pa/
།གནོད་སེམས་སྤངས་པའི་བྱང་ཆུབ་སེམས་དཔས་སྦྱིན་པ་བྱིན་ན་ལོངས་སྤྱོད་ཆེ་བར་འགྱུར་ཞིང་མཛེས་པ་དང་། སྐྱེ་བོ་མང་པོ་དགའ་ཞིང་ཡིད་དུ་འོང་བར་ཡང་འགྱུར་རོ།	/gnod sems spangs pa'i byang chub sems dpas sbyin pa byin na longs spyod che bar 'gyur zhing mdzes pa dang /_skye bo mang po dga' zhing yid du 'ong bar yang 'gyur ro/
།གང་གི་ཕྱིར་ན་ངས་ནི་དག་པའི་འོད་རྣམས་སྟོན་མཛད་པ།	/gang gi phyir na ngas ni dag pa'i 'od rnams ston mdzad pa/
།བཙུན་པ་འོད་སྲུང་ཆེན་པོ་བུད་མེད་ཀྱི་ལུས་ཀྱིས་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་མི་འགྱུར་ལ་ལྷག་པའི་བསམ་པ་ལ་ཞུགས་པ་ལ་ཡང་།	/btsun pa 'od srung chen po bud med kyi lus kyis kyang bla na med pa yang dag par rdzogs pa'i byang chub mngon par rdzogs par 'tshang rgya bar mi 'gyur la lhag pa'i bsam pa la zhugs pa la yang /
བདག་ཉིད་བྱང་ཆུབ་ལགས་ཏེ།	bdag nyid byang chub lags te/
།བཀུར་སྟི་དང་། རིམ་གྲོ་ཐམས་ཅད་ཀྱང་བགྱིའོ།	/bkur sti dang /_rim gro thams cad kyang bgyi'o/
།བདག་ནི་ཐུབ་པ་ཡེ་ཤེས་ཡོན་ཏན་ཀུན་གྱི་འབྱུང་གནས་དེ་ཡིས་ལུང་བསྟན་ཏེ།	/bdag ni thub pa ye shes yon tan kun gyi 'byung gnas de yis lung bstan te/
ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོ་འདི་ཉིད་དེའི་ཚེ་དེའི་དུས་ན་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་ལྷས་བཙའ་ཞེས་བྱ་བར་གྱུར་ཏོ།	klu'i rgyal po rgya mtsho 'di nyid de'i tshe de'i dus na 'khor los sgyur ba'i rgyal po lhas btsa' zhes bya bar gyur to/
།ཁྱོད་ནི་ཆོས་རྒྱལ་མི་འཇིགས་སྩོལ་བ་ལགས།	/khyod ni chos rgyal mi 'jigs stsol ba lags/
།འགྲོ་བའི་ལས་ཀྱི་རྐྱེན་གྱིས་རང་བཞིན་འབྱུང་།	/'gro ba'i las kyi rkyen gyis rang bzhin 'byung /
བསྒྲལ་ནས་ཀྱང་འཛུད་པར་བགྱིད་ལ། ཚུ་རོལ་དང་ཕ་རོལ་གྱི་འགྲམ་ན་ཡང་མི་གནས་ན།	bsgral nas kyang 'dzud par bgyid la/_tshu rol dang pha rol gyi 'gram na yang mi gnas na/
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་ང་རྒྱལ་དང་། རྒྱགས་པ་དང་དྲེགས་པ་བཅོམ་པས་ཡེ་ཤེས་ཀྱི་སྟོབས་ཅན་རྣམས་ལགས།	bcom ldan 'das ji ltar na byang chub sems dpa' nga rgyal dang /_rgyags pa dang dregs pa bcom pas ye shes kyi stobs can rnams lags/
ཀླུའི་བདག་པོ་གཞན་ཡང་ཐམས་ཅད་མཁྱེན་པའི་སེམས་དེའི་སྒྲིབ་པ་མེད་པ་བཞི་སྟེ།	klu'i bdag po gzhan yang thams cad mkhyen pa'i sems de'i sgrib pa med pa bzhi ste/
དེ་ལ་རྣམ་པར་ཐར་པ་གསུམ་གྱི་ལམ་ནི་དམིགས་པ་ཐམས་ཅད་སྤང་བའི་ཕྱིར་སྟོང་པ་ཉིད་དང་། རྟོག་པ་དང་། རྣམ་པར་རྟོག་པ་དང་། ཡོངས་སུ་རྟོག་པ་དང་། མཚན་མ་དང་། རྣམ་པར་རྟོག་པ་ཐམས་ཅད་སྤང་བའི་ཕྱིར་མཚན་མ་མེད་པ་དང་།  ཁམས་གསུམ་པ་ལ་རྟོན་པ་སྤང་བའི་ཕྱིར་སྨོན་པ་མེད་པ་སྟེ།	de la rnam par thar pa gsum gyi lam ni dmigs pa thams cad spang ba'i phyir stong pa nyid dang /_rtog pa dang /_rnam par rtog pa dang /_yongs su rtog pa dang /_mtshan ma dang /_rnam par rtog pa thams cad spang ba'i phyir mtshan ma med pa dang /__khams gsum pa la rton pa spang ba'i phyir smon pa med pa ste/
དེ་ལ་བྱང་ཆུབ་སེམས་དཔའ་ནི་གློ་བུར་གྱི་ཉེ་བའི་ཉོན་མོངས་པ་རྣམས་ཀྱི་སྐབས་མི་འབྱེད་དེ།	de la byang chub sems dpa' ni glo bur gyi nye ba'i nyon mongs pa rnams kyi skabs mi 'byed de/
དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་དེས་བདག་སླད་ཀྱིས་ཀྱང་འདི་འདྲ་བའི་ཆོས་ཐོས་པ་དང་འབྲལ་བར་མི་འགྱུར་བར་བཅོམ་ལྡན་འདས་བདག་ལ་ཐུགས་བརྩེ་བའི་སླད་དུ་གནང་བར་མཛད་དུ་གསོལ།	de bzhin gshegs pa la mchod pa des bdag slad kyis kyang 'di 'dra ba'i chos thos pa dang 'bral bar mi 'gyur bar bcom ldan 'das bdag la thugs brtse ba'i slad du gnang bar mdzad du gsol/
གང་རྐྱེན་གྱི་ཁ་ན་ལས་པ་དེ་ལ་ནི་བདག་མེད། བདག་གི་མེད་དོ། །	gang rkyen gyi kha na las pa de la ni bdag med/_bdag gi med do/_/
གསུམ་གང་ཞེ་ན།	gsum gang zhe na/
ཀླུའི་བདག་པོ་འདི་ལྟ་སྟེ། དཔེར་ན་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་ལ་སེམས་ཅན་ཐམས་ཅད་དགའོ། །ཀླུའི་བདག་པོ་དེ་བཞིན་དུ་བག་ཡོད་པའི་བྱང་ཆུབ་སེམས་དཔའ་ལ་ལྷར་བཅས་པའི་འཇིག་རྟེན་དགའོ། །	klu'i bdag po 'di lta ste/_dper na 'khor los sgyur ba'i rgyal po la sems can thams cad dga'o/_/klu'i bdag po de bzhin du bag yod pa'i byang chub sems dpa' la lhar bcas pa'i 'jig rten dga'o/_/
དེ་ནི་མཚན་མ་མེད་ཅིང་ཉོན་མོངས་བྲལ། །	de ni mtshan ma med cing nyon mongs bral/_/
ཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་རྣམས་དང་། རྣམ་པར་ཤེས་པ་འབྱུང་བ་ནི་སངས་རྒྱས་འབྱུང་བ་མ་ཡིན་ནོ། །སངས་རྒྱས་འབྱུང་བ་ནི་རྣམ་པར་ཤེས་པ་སྐྱེ་བ་མེད་པས་རབ་ཏུ་ཕྱེ་བ་ཡང་མ་ཡིན་ནོ། །	tshor ba dang /_'du shes dang /_'du byed rnams dang /_rnam par shes pa 'byung ba ni sangs rgyas 'byung ba ma yin no/_/sangs rgyas 'byung ba ni rnam par shes pa skye ba med pas rab tu phye ba yang ma yin no/_/
འཁོར་ལོ་དེ་འདོད་པའི་ཁམས་ཐོབ་པར་བྱ་བའི་ཕྱིར་མི་སྐོར། གཟུགས་དང་གཟུགས་མེད་པའི་ཁམས་ཐོབ་པར་བྱ་བའི་ཕྱིར་མི་སྐོར་ཏེ། དེའི་ཕྱིར་དེ་སྨོན་པ་མེད་པའི་འཁོར་ལོའོ། །	'khor lo de 'dod pa'i khams thob par bya ba'i phyir mi skor/_gzugs dang gzugs med pa'i khams thob par bya ba'i phyir mi skor te/_de'i phyir de smon pa med pa'i 'khor lo'o/_/
དེ་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་བར་སྣང་དེ་ལས་བབས་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། རིན་པོ་ཆེའི་པད་མ་དེ་དག་ལ་འཁོད་དོ། །	de nas 'jam dpal gzhon nur gyur pa dang /_byang chub sems dpa' de dag bar snang de las babs nas bcom ldan 'das kyi zhabs la mgo bos phyag 'tshal te/_rin po che'i pad ma de dag la 'khod do/_/
སྨྲས་པ། འཇམ་དཔལ་དེ་བཞིན་གཤེགས་པ་མཐོང་བ་ཤིན་ཏུ་རྣམ་པར་དག་པ་ཇི་ལྟ་བུ་ཡིན།	smras pa/_'jam dpal de bzhin gshegs pa mthong ba shin tu rnam par dag pa ji lta bu yin/
ཀླུའི་བདག་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཡང་ཤེས་རབ་ཀྱི་སྟོབས་བསྐྱེད་པས་ཆོས་ཐམས་ཅད་སྟོང་པ་ཉིད་དང་། མཚན་མ་མེད་པ་དང་། སྨོན་པ་མེད་པ་དང་། མངོན་པར་འདུ་བྱེད་པ་མེད་པར་རྣམ་པར་ལྟ་ཞིང་ཉེ་བར་རྟོག་ལ་སེམས་ཅན་ཐམས་ཅད་ལ་དམིགས་པའི་སྙིང་རྗེ་ཆེན་པོས་ཡང་དག་པར་བཏང་བའི་ཐབས་ལ་མཁས་པས་ཡང་ཐམས་ཅད་མཁྱེན་པའི་སེམས་ལ་གནས་སོ། །	klu'i bdag po byang chub sems dpa' yang shes rab kyi stobs bskyed pas chos thams cad stong pa nyid dang /_mtshan ma med pa dang /_smon pa med pa dang /_mngon par 'du byed pa med par rnam par lta zhing nye bar rtog la sems can thams cad la dmigs pa'i snying rje chen pos yang dag par btang ba'i thabs la mkhas pas yang thams cad mkhyen pa'i sems la gnas so/_/
ས་འདི་ལྟར་སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་ལྷ་དང་མི་རྣམས་ལ་ཆོས་ཀྱི་གཏམ་གཅིག་སྟོན་པར་འགྱུར་བའི་ཕྱིར་རོ། །	sa 'di ltar sangs rgyas kyi zhing de na lha dang mi rnams la chos kyi gtam gcig ston par 'gyur ba'i phyir ro/_/
རི་རབ་རྒྱལ་མཚན་རྡོ་རྗེ་འདྲ་བའི་སྐུ། །མི་གཡོ་རི་རབ་མཚུངས་ལ་ཕྱག་འཚལ་ལོ། །	ri rab rgyal mtshan rdo rje 'dra ba'i sku/_/mi g.yo ri rab mtshungs la phyag 'tshal lo/_/
ཕ་རོལ་གྱིས་མནན་པ་མེད་པས་རྡོ་རྗེའི་ལུས་རབ་ཏུ་ཐོབ་པ་རྣམས་ཡིན།	pha rol gyis mnan pa med pas rdo rje'i lus rab tu thob pa rnams yin/
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་འདི་བཞི་དང་ལྡན་ན་ཆོས་རྣམས་བླངས་པ་མེད་པར་སློབ་དཔོན་རྣམས་ཡིན་ནོ། །	rigs kyi bu byang chub sems dpa' chos 'di bzhi dang ldan na chos rnams blangs pa med par slob dpon rnams yin no/_/
འཕེལ་བ་མ་ཡིན་མི་ཟད་མ་སྐྱེས་ཏེ། །གསོབ་གསོག་ནམ་མཁའ་ལྟ་བུར་རྣམ་པར་དག །	'phel ba ma yin mi zad ma skyes te/_/gsob gsog nam mkha' lta bur rnam par dag_/
དེ་སེམས་ཅན་ཐམས་ཅད་རང་བཞིན་གྱིས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པར་ཡང་བཟོད་དེ་སེམས་ཅན་རྣམས་འཆི་འཕོ་བ་དང་སྐྱེ་བར་ཡང་བཟོད་དོ། །	de sems can thams cad rang bzhin gyis yongs su mya ngan las 'das par yang bzod de sems can rnams 'chi 'pho ba dang skye bar yang bzod do/_/
ཆོས་གང་འཇིག་རྟེན་ལས་སྒྲོལ་བའོ། །	chos gang 'jig rten las sgrol ba'o/_/
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་ལྷའི་ཅོད་པན་གྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །	de nas bcom ldan 'das la byang chub sems dpa' lha'i cod pan gyis 'di skad ces gsol to/_/
ཡོན་ཏན་མངའ་བ་ཁྱོད་འདིར་གཤེགས་པའི་དུས་འདི་ལགས། །	yon tan mnga' ba khyod 'dir gshegs pa'i dus 'di lags/_/
རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་དང་མི་འགལ་བས་བྱང་ཆུབ་ཀྱི་རྗེས་སུ་འཐུན་པའི་ཚུལ་ཁྲིམས་ཏེ།	rten cing 'brel par 'byung ba dang mi 'gal bas byang chub kyi rjes su 'thun pa'i tshul khrims te/
མིའམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོ་ནི་ཤེས་རབ་སྒྲོན་མ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་རབ་ཏུ་ཐོབ་པར་གྱུར་ཏོ། །	mi'am ci'i rgyal po sdong po ni shes rab sgron ma zhes bya ba'i ting nge 'dzin rab tu thob par gyur to/_/
ཡེ་ཤེས་ཚོགས་ཀྱང་ཅི་འདྲ་ཞིག །	ye shes tshogs kyang ci 'dra zhig_/
དེས་ནི་མྱ་ངན་འདས་པར་འགྲོ། །	des ni mya ngan 'das par 'gro/_/
