# pyewts.toWylie reference fixtures (OpenPecha/pyewts master, Apache-2.0)
# inputs: hgm_dictionary_v27_2 tibetan column + strided 84000 TM native unicode
ཀ	ka
ཀེང་རུས་ཀྱི་གཟུགས་བརྙན་ཡིད་ལ་བྱེད་པ	keng rus kyi gzugs brnyan yid la byed pa
ཀོ	ko
ཀོ་གྲུ	ko gru
ཀོང་ཆུ	kong chu
ཀོང་སྤྲུལ་བོལ་གྲོས་མཐའ་ཡས	kong sprul bol gros mtha' yas
ཀོའུ་ཤམ་བི	ko'u sham bi
ཀོོ་ཤི་ཀ	ko+o shi ka
ཀྱང	kyang
ཀྱང་ཅི	kyang ci
ཀྱི	kyi
ཀྱི་ཧུད་ཨ་ཟ	kyi hud a za
ཀྱིས	kyis
ཀྱེ	kye
ཀྱེ་རྒྱལ་བའི་སྲས་དག་འདི་ལྟ་སྟེ	kye rgyal ba'i sras dag 'di lta ste
ཀྱེ་མ	kye ma
ཀྱེ་མའོ	kye ma'o
ཀྱེའི་རྡོ་རྗེ་ཞེས་བྱ་བ་རྒྱུད་ཀྱི་རྒྱལ་པོ	kye'i rdo rje zhes bya ba rgyud kyi rgyal po
ཀྲི་ཡ། ཀྲི་ཡཱ	kri ya/_kri yA
ཀྲི་ཡཱ། ཀྲི་ཡ	kri yA/_kri ya
ཀླ་ཀློ	kla klo
ཀླ་ཀློ་སྐྱེ་བོ	kla klo skye bo
ཀླག་པ་བྱ་བ	klag pa bya ba
ཀླག་པར་བྱ་བ	klag par bya ba
ཀླད་ནད	klad nad
ཀླད་པ	klad pa
ཀླན་ཀ	klan ka
ཀླན་ཀ་འཇུག་རུང	klan ka 'jug rung
ཀླན་ཀ་ཡོངས་སུ་སྤང་བར་བྱ་བའི་ཕྱིར	klan ka yongs su spang bar bya ba'i phyir
ཀླན་ཀའི་སྐབས་མཆིས་པ	klan ka'i skabs mchis pa
ཀླན་ཀའི་རྩོད་པ	klan ka'i rtsod pa
ཀླུ	klu
ཀླུ་སྒྲུབ	klu sgrub
ཀླུ་བདག	klu bdag
ཀླུ་བདུད	klu bdud
ཀླུ་དབང	klu dbang
ཀླུ་བཙན	klu btsan
ཀླུ་ཡི་བདག་པོ	klu yi bdag po
ཀླུ་སྲིན	klu srin
ཀླུང	klung
ཀླུང་གི་རྒྱུན	klung gi rgyun
ཀླུང་ལ་རྣག	klung la rnag
ཀླུབས་པ	klubs pa
ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོས་ཞུས་པའི་མདོ	klu'i rgyal po rgya mtshos zhus pa'i mdo
ཀླུའི་རྒྱལ་པོ་མ་དྲོས་པས་ཞུས་པའི་མདོ	klu'i rgyal po ma dros pas zhus pa'i mdo
ཀླུའི་དབང་པོའི་སྒྲ	klu'i dbang po'i sgra
ཀླུའི་རྩ་ཤེ་རབ	klu'i rtsa she rab
ཀླུའི་རྩ་ཤེ་རབ་བྱེད	klu'i rtsa she rab byed
ཀློག	klog
ཀློག་ཏུ་གཞུག་པར	klog tu gzhug par
ཀློག་ཐབས	klog thabs
ཀློག་པ	klog pa
ཀློང	klong
ཀློང་ཆེན	klong chen
ཀློང་ཆེན་པ། ཀློང་ཆེན་པ་དྲི་མེད་འོད་ཟེར	klong chen pa/_klong chen pa dri med 'od zer
དཀའ	dka'
དཀའ་འགྲེལ	dka' 'grel
དཀའ་བཅུ་པ	dka' bcu pa
དཀའ་གདམས་པ	dka' gdams pa
དཀའ་སྤྱོད། དཀའ་བ་སྤྱོད་པ། དཀའ་སྤྱད། དཀའ་བ་སྤྱད་པ	dka' spyod/_dka' ba spyod pa/_dka' spyad/_dka' ba spyad pa
དཀའ་སྤྱད། དཀའ་བ་སྤྱད། དཀའ་བ་སྤྱད་པ། དཀའ་བ་སྤྱོད་པ	dka' spyad/_dka' ba spyad/_dka' ba spyad pa/_dka' ba spyod pa
དཀའ་བ	dka' ba
