Abb. Wylie,Abb. Unicode,Expan. Wylie,Expan. Unicode,Source
rig+ngas,རིགྔས,rigs lnga,རིགས་ལྔ,rKTs (CC BY 4.0): Dzongkha abbreviations
rigasngaT,རིགསྔཊ,rigs sngags,རིགས་སྔགས,rKTs (CC BY 4.0): Dzongkha abbreviations
rigsu,རིགསུ,rigs su,རིགས་སུ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
riD,རིཌ,rigs,རིགས,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
riDa,རིཌ་,rigs,རིགས་,rKTs (CC BY 4.0): Esukhia
ru+ing,རིུང,ring thung,རིང་ཐུང,rKTs (CC BY 4.0): Dzongkha abbreviations
ringargyud,རིངརྒྱུད,ring brgyud,རིང་བརྒྱུད,rKTs (CC BY 4.0): Esukhia
rid+rel,རིངྲེལ,ring bsrel,རིང་བསྲེལ,rKTs (CC BY 4.0): Dzongkha abbreviations
ring+rel,རིངྲེལ,ring bsrel,རིང་བསྲེལ,rKTs (CC BY 4.0): Dzongkha abbreviations
ri+ong,རིོང,ring song,རིང་སོང,rKTs (CC BY 4.0): Esukhia
ringsu,རིངསུ,rings su,རིངས་སུ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
rinango,རིནངོ་,rin gong,རིན་གོང་,rKTs (CC BY 4.0): Esukhia
rine,རིནེ,rin cen,རིན་ཅེན,rKTs (CC BY 4.0): Dzongkha abbreviations
rine gsuM,རིནེ་གསུཾ,rin chen gsum,རིན་ཆེན་གསུམ,rKTs (CC BY 4.0): Dzongkha abbreviations
rinech+ya,རིནེཆྱ་,rin chen mchog,རིན་ཆེན་མཆོག་,rKTs (CC BY 4.0): Esukhia
ri+enru+ob,རིེནྲོུབ,rin chen don grub,རིན་ཆེན་དོན་གྲུབ,rKTs (CC BY 4.0): Dzongkha abbreviations
rine rnaM gsum,རིནེ་རྣཾ་གསུམ,rin chen rnam gsum,རིན་ཆེན་རྣམ་གསུམ,rKTs (CC BY 4.0): Dzongkha abbreviations
rine,རིནེ,rin chen,རིན་ཆེན,rKTs (CC BY 4.0)
re+in,རེིན,rin chen,རིན་ཆེན,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
rin+thang,རིནྠང་,rin thang,རིན་ཐང,rKTs (CC BY 4.0): Esukhia
rino+e,རིནོེ,rin po che,རིན་པོ་ཆེ,rKTs (CC BY 4.0)
ro+i+en,རོིེན,rin po che,རིན་པོ་ཆེ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
rin+zang,རིནྯང,rin bzang,རིན་བཟང,rKTs (CC BY 4.0): Esukhia
rin^in,རིནི༹ན,rin 'dzin,རིན་འཛིན,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
riM,རིྃ་,rim,རིམ་,rKTs (CC BY 4.0): Esukhia
riMchenos,རིྃཆེནོས,rim chen pos,རིམ་ཆེན་པོས,rKTs (CC BY 4.0): Esukhia
ripaMni+u,རིཔྃནིུ,rim pa bzhin du,རིམ་པ་བཞིན་དུ,rKTs (CC BY 4.0): Esukhia
riMr,རིཾར,rim par,རིམ་པར,rKTs (CC BY 4.0): Esukhia
riraM,རིརྃ,rim par,རིམ་པར,rKTs (CC BY 4.0): Esukhia
riMsad,རིཾསད,rims cad,རིམས་ཅད,rKTs (CC BY 4.0): Dzongkha abbreviations
risaM,རིསྃ,rims,རིམས,rKTs (CC BY 4.0): Esukhia
ri'ir,རིའིར,ri'i bar,རིའི་བར,rKTs (CC BY 4.0): Esukhia
ri'osilasuM,རིའོསིལསུཾ,ri'o bsil gsum,རིའོ་བསིལ་གསུམ,rKTs (CC BY 4.0): Esukhia
ro'i,རོའི,ri'o,རིའོ,rKTs (CC BY 4.0): Esukhia
rilu,རིལུ,ril bu,རིལ་བུ,rKTs (CC BY 4.0)
rilaM,རིལཾ,ril ma,རིལ་མ,rKTs (CC BY 4.0): Dzongkha abbreviations
riladzin,རིལཛིན,ril 'dzin,རིལ་འཛིན,rKTs (CC BY 4.0): Esukhia
ris+rug,རིསྲུག,ris drug,རིས་དྲུག,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
ru+on,རོུན,ru dpon,རུ་དཔོན,rKTs (CC BY 4.0): Dzongkha abbreviations
r^un,རུ༹ན,ru mtshan,རུ་མཚན,rKTs (CC BY 4.0): Dzongkha abbreviations
r^u+on,རོུ༹ན,ru mtshon,རུ་མཚོན,rKTs (CC BY 4.0): Dzongkha abbreviations
ru+on,རོུན,ru mtshon,རུ་མཚོན,rKTs (CC BY 4.0)
r^u+ings,རིུ༹ངས,ru 'dzings,རུ་འཛིངས,rKTs (CC BY 4.0): Dzongkha abbreviations
ruM,རུྃ,rum,རུམ,rKTs (CC BY 4.0)
rul+sungs,རུལྶུངས,rul sungs,རུལ་སུངས,rKTs (CC BY 4.0): Esukhia
rusan,རུསན,rus can,རུས་ཅན,rKTs (CC BY 4.0): Dzongkha abbreviations
rusa'i,རུསའི,rus pa'i,རུས་པའི,rKTs (CC BY 4.0): Esukhia
ruskyed,རུསྐྱེད,rus bskyed,རུས་བསྐྱེད,rKTs (CC BY 4.0): Esukhia
rus^er,རུསེ༹ར,rus mdzer,རུས་མཛེར,rKTs (CC BY 4.0): Dzongkha abbreviations
r^u+od,རོུ༹ད,rus mdzod,རུས་མཛོད,rKTs (CC BY 4.0): Dzongkha abbreviations
rusbal+yi,རུསྦལྱི,rus sbal gyi,རུས་སྦལ་གྱི,rKTs (CC BY 4.0): Dzongkha abbreviations
rusbalan,རུསྦལན,rus sbal can,རུས་སྦལ་ཅན,rKTs (CC BY 4.0): Dzongkha abbreviations
rusbal,རུསྦལ,rus sbal,རུས་སྦལ,rKTs (CC BY 4.0): Dzongkha abbreviations
rusbos,རུསྦོས,rus sbos,རུས་སྦོས,rKTs (CC BY 4.0): Dzongkha abbreviations
rel,རེལ,re ral,རེ་རལ,rKTs (CC BY 4.0): Dzongkha abbreviations
rai,རཻ,re re,རེ་རེ,rKTs (CC BY 4.0)
rair,རཻར,re rer,རེ་རེར,rKTs (CC BY 4.0): Dzongkha abbreviations
reMs,རེཾས,rengs,རེངས,rKTs (CC BY 4.0): Esukhia
redo,རེདོ,red do,རེད་དོ,rKTs (CC BY 4.0): Dzongkha abbreviations
raim,རཻམ,rem rem,རེམ་རེམ,rKTs (CC BY 4.0): Dzongkha abbreviations
resaz+ya'ang,རེསཟྱའང,res gza' dang,རེས་གཟའ་དང,rKTs (CC BY 4.0): Esukhia
resaz+ya'aMthunaM,རེསཟྱའཾཐུནཾ,res gza' mthun nam,རེས་གཟའ་མཐུན་ནམ,rKTs (CC BY 4.0): Esukhia
rotsa,རོཙ་,ro tsa,རོ་ཙ་,rKTs (CC BY 4.0): Esukhia
r^o,རོ༹,ro tsa,རོ་ཙ,rKTs (CC BY 4.0): Dzongkha abbreviations
ro+in,རོིན,ro 'dzin,རོ་འཛིན,rKTs (CC BY 4.0): Dzongkha abbreviations
ru+ol ba,རོུལ་བ,ro rul ba,རོ་རུལ་བ,rKTs (CC BY 4.0): Dzongkha abbreviations
roge,རོགེ,rog ge,རོག་གེ,rKTs (CC BY 4.0): Dzongkha abbreviations
rogo,རོགོ,rog go,རོག་གོ,rKTs (CC BY 4.0): Dzongkha abbreviations
roDa,རོཌ་,rogs,རོགས་,rKTs (CC BY 4.0): Esukhia
rungol,རུངོལ,rong yul,རོང་ཡུལ,rKTs (CC BY 4.0): Dzongkha abbreviations
ru+ol,རོུལ,rong yul,རོང་ཡུལ,rKTs (CC BY 4.0)
rovam,རོབ༹མ,rob tsam,རོབ་ཙམ,rKTs (CC BY 4.0): Dzongkha abbreviations
rolakhug,རོལཁུག,rol khug,རོལ་ཁུག,rKTs (CC BY 4.0): Esukhia
rolte,རོལྟེ,rol te,རོལ་ཏེ,rKTs (CC BY 4.0): Esukhia
rol+rug,རོལྲུག,rol drug,རོལ་དྲུག,rKTs (CC BY 4.0): Esukhia
rol+na,རོལྣ་,rol na,རོལ་ན་,rKTs (CC BY 4.0): Esukhia
rol^o,རོལོ༹,rol mtsho,རོལ་མཚོ,rKTs (CC BY 4.0): Dzongkha abbreviations
roloM,རོལོཾ,rol mo,རོལ་མོ,rKTs (CC BY 4.0): Dzongkha abbreviations
rol+mo,རོལྨོ,rol mo,རོལ་མོ,rKTs (CC BY 4.0): Dzongkha abbreviations
rkangamyong,རྐངམྱོང,rkang mgo dang,རྐང་མགོ་དང,rKTs (CC BY 4.0): Esukhia
rkang+son,རྐངྶོན,rkang sen,རྐང་སེན,rKTs (CC BY 4.0): Esukhia
rkang+sor,རྐངྶོར,rkang sor,རྐང་སོར,rKTs (CC BY 4.0): Esukhia
rkyode,རྐྱོདེ,rko byed,རྐོ་བྱེད,rKTs (CC BY 4.0): Esukhia
rkyyang,རྐྱྱང,rkyang rkyang,རྐྱང་རྐྱང,rKTs (CC BY 4.0): Dzongkha abbreviations
rkyenroTar,རྐྱེནྲོཊར,rkyen ngan grogs shar,རྐྱེན་ངན་གྲོགས་ཤར,rKTs (CC BY 4.0): Dzongkha abbreviations
rkyenang,རྐྱེནང,rkyen dang,རྐྱེན་དང,rKTs (CC BY 4.0): Esukhia
rgi,རྒི,rga shi,རྒ་ཤི,rKTs (CC BY 4.0)
rgan+chaDa,རྒནྖཌ་,rgan chags,རྒན་ཆགས་,rKTs (CC BY 4.0): Esukhia
rgano,རྒནོ,rgan po,རྒན་པོ,rKTs (CC BY 4.0): Dzongkha abbreviations
rganoM,རྒནོཾ,rgan mo,རྒན་མོ,rKTs (CC BY 4.0): Dzongkha abbreviations
rgas+yang,རྒསྱང,rgas kyang,རྒས་ཀྱང,rKTs (CC BY 4.0): Esukhia
rgas+thunaMtshas,རྒསྠུནྃཚས,rgas thun mtshams,རྒས་ཐུན་མཚམས,rKTs (CC BY 4.0): Esukhia
r+g+rum,རྒྲུམ,rgun 'brum,རྒུན་འབྲུམ,rKTs (CC BY 4.0)
rgoda'i,རྒོདའི,rgod pa'i,རྒོད་པའི,rKTs (CC BY 4.0): Esukhia
rgya bod,རྒྱ་བོད,rgya gar dang bod,རྒྱ་གར་དང་བོད,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
rgyar,རྒྱར,rgya gar,རྒྱ་གར,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
rgya graM,རྒྱ་གྲཾ,rgya gram,རྒྱ་གྲམ,rKTs (CC BY 4.0): Dzongkha abbreviations
r+g+y+ram,རྒྱྲམ,rgya gram,རྒྱ་གྲམ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
d+ye,དྱེ་,rgya che,རྒྱ་ཆེ་,rKTs (CC BY 4.0): Esukhia
d+yan+ye+ode,དྱནྱེོདེ,rgya chen po byed,རྒྱ་ཆེན་པོ་བྱེད,rKTs (CC BY 4.0): Esukhia
d+yane+o,དྱནེོ,rgya chen po,རྒྱ་ཆེན་པོ,rKTs (CC BY 4.0): Esukhia
rgyer,རྒྱེར,rgya cher,རྒྱ་ཆེར,rKTs (CC BY 4.0): Dzongkha abbreviations
rgya bod,རྒྱ་བོད,rgya nag dang bod,རྒྱ་ནག་དང་བོད,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
d+yanagang,དྱནགང,rgya nag dang,རྒྱ་ནག་དང,rKTs (CC BY 4.0): Esukhia
rgyag,རྒྱག,rgya nag,རྒྱ་ནག,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
rgyod,རྒྱོད,rgya bod,རྒྱ་བོད,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyamo,རྒྱམོ,rgya mtsho,རྒྱ་མཚོ,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
rgy^o,རྒྱོ༹,rgya mtsho,རྒྱ་མཚོ,rKTs (CC BY 4.0)
rgy^oM,རྒྱོཾ༹,rgya mtsho,རྒྱ་མཚོ,rKTs (CC BY 4.0): Dzongkha abbreviations
rgy^om,རྒྱོ༹མ,rgya mtsho,རྒྱ་མཚོ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
r+tsho,རྪོ,rgya mtsho,རྒྱ་མཚོ,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
d+yaMtsho,དྱཾཚོ,rgya mtsho,རྒྱ་མཚོ,rKTs (CC BY 4.0): Esukhia
dyoM^,དྱོཾ༹,rgya mtsho,རྒྱ་མཚོ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
d+yatsho'i,དྱཚོའི,rgya mtsho'i,རྒྱ་མཚོའི,rKTs (CC BY 4.0): Esukhia
rgyoM'i,རྒྱོཾའི,rgya mtsho'i,རྒྱ་མཚོའི,rKTs (CC BY 4.0): Dzongkha abbreviations
d+y^or,ངྱོ༹ར,rgya mtshor,རྒྱ་མཚོར,rKTs (CC BY 4.0): Dzongkha abbreviations
ng+y^or,ངྱོ༹ར,rgya mtshor,རྒྱ་མཚོར,rKTs (CC BY 4.0): Dzongkha abbreviations
rgy^oMr,རྒྱོ༹ཾར,rgya mtshor,རྒྱ་མཚོར,rKTs (CC BY 4.0): Dzongkha abbreviations
d+yaM'i,དྱྃའི,rgya ma'i,རྒྱ་མའི,rKTs (CC BY 4.0): Esukhia
rgyA,རྒྱཱ,rgya rgya,རྒྱ་རྒྱ,rKTs (CC BY 4.0): Dzongkha abbreviations
d+yarnyingadaM'azhun,དྱརྙིངདྃའཞུན,rgya rnyi mda' gzhu can,རྒྱ་རྙི་མདའ་གཞུ་ཅན,rKTs (CC BY 4.0): Esukhia
d+ya,དྱ,rgya,རྒྱ,rKTs (CC BY 4.0): Esukhia
d+yag,ངྱག,rgyag,རྒྱག,rKTs (CC BY 4.0): Dzongkha abbreviations
ng+yag,ངྱག,rgyag,རྒྱག,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyan+yi,རྒྱནྱི,rgyan gyi,རྒྱན་གྱི,rKTs (CC BY 4.0): Dzongkha abbreviations
d+yano,དྱནོ,rgyan no,རྒྱན་ནོ,rKTs (CC BY 4.0): Esukhia
d+yan,དྱན,rgyan,རྒྱན,rKTs (CC BY 4.0): Esukhia
rgyabakra,རྒྱབཀྲ,rgyab bkra,རྒྱབ་བཀྲ,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyabashul,རྒྱབཤུལ,rgyab bshul,རྒྱབ་བཤུལ,rKTs (CC BY 4.0): Dzongkha abbreviations
d+yab,དྱབ,rgyab,རྒྱབ,rKTs (CC BY 4.0): Esukhia
d+yal+khab,དྱལྑབ,rgyal khab,རྒྱལ་ཁབ,rKTs (CC BY 4.0): Esukhia
rgyal+riMs,རྒྱལྲིཾས,rgyal khrims,རྒྱལ་ཁྲིམས,rKTs (CC BY 4.0): Dzongkha abbreviations
d+yalen sde 9,ངྱལེན་སྡེ་༩,rgyal chen sde dgu,རྒྱལ་ཆེན་སྡེ་དགུ,rKTs (CC BY 4.0): Dzongkha abbreviations
ng+yalen sde 9,ངྱལེན་སྡེ་༩,rgyal chen sde dgu,རྒྱལ་ཆེན་སྡེ་དགུ,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyalen,རྒྱལེན,rgyal chen,རྒྱལ་ཆེན,rKTs (CC BY 4.0)
len,ལེན,rgyal chen,རྒྱལ་ཆེན,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyal blon,རྒྱལ་བློན,rgyal po dang blon po,རྒྱལ་པོ་དང་བློན་པོ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
rgyalo,རྒྱལོ,rgyal po,རྒྱལ་པོ,rKTs (CC BY 4.0)
rgyol,རྒྱོལ,rgyal po,རྒྱལ་པོ,rKTs (CC BY 4.0)
rgyalo'i gdung d+yud,རྒྱལོའི་གདུང་ངྱུད,rgyal po'i gdung rgyud,རྒྱལ་པོའི་གདུང་རྒྱུད,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyalo'i gdung ng+yud,རྒྱལོའི་གདུང་ངྱུད,rgyal po'i gdung rgyud,རྒྱལ་པོའི་གདུང་རྒྱུད,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyalo'i,རྒྱལོའི,rgyal po'i,རྒྱལ་པོའི,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyalos,རྒྱལོས,rgyal pos,རྒྱལ་པོས,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyalaM,རྒྱལཾ,rgyal pham,རྒྱལ་ཕམ,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyala'i,རྒྱལའི,rgyal ba'i,རྒྱལ་བའི,rKTs (CC BY 4.0): Dzongkha abbreviations
d+yalba,དྱལྦ,rgyal ba,རྒྱལ་བ,rKTs (CC BY 4.0): Esukhia
d+yalo,དྱལོ་,rgyal bo,རྒྱལ་བོ་,rKTs (CC BY 4.0): Esukhia
d+yal+lo,དྱལློ་,rgyal bo zla,རྒྱལ་བོ་ཟླ་,rKTs (CC BY 4.0): Esukhia
d+yalo'o,དྱལོའོ་,rgyal bo'o,རྒྱལ་བོའོ་,rKTs (CC BY 4.0): Esukhia
rgyal+yud,རྒྱལྱུད,rgyal brgyud,རྒྱལ་བརྒྱུད,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyalu,རྒྱལུ,rgyal bu,རྒྱལ་བུ,rKTs (CC BY 4.0)
rgyal+yed,རྒྱལྱེད,rgyal byed,རྒྱལ་བྱེད,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyalon,རྒྱལོན,rgyal blon,རྒྱལ་བློན,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
d+yalaMchu,དྱལྃཆུ,rgyal mchu,རྒྱལ་མཆུ,rKTs (CC BY 4.0): Esukhia
d+yalatshano,དྱལཚནོ,rgyal mtshan no,རྒྱལ་མཚན་ནོ,rKTs (CC BY 4.0): Esukhia
rgy^an,རྒྱ༹ན,rgyal mtshan,རྒྱལ་མཚན,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyal^an,རྒྱལ༹ན,rgyal mtshan,རྒྱལ་མཚན,rKTs (CC BY 4.0)
d+yaMtshan,དྱྃཚན,rgyal mtshan,རྒྱལ་མཚན,rKTs (CC BY 4.0): Esukhia
dyal^an,དྱལ༹ན,rgyal mtshan,རྒྱལ་མཚན,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
dyalM^an,དྱལཾ༹ཨན,rgyal mtshan,རྒྱལ་མཚན,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
dyalMo,དྱལཾཨོ,rgyal mo,རྒྱལ་མོ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
d+yal tshab,ངྱལ་ཚབ,rgyal tshab,རྒྱལ་ཚབ,rKTs (CC BY 4.0): Dzongkha abbreviations
ng+yal tshab,ངྱལ་ཚབ,rgyal tshab,རྒྱལ་ཚབ,rKTs (CC BY 4.0): Dzongkha abbreviations
d+yal^ab,ངྱལ༹བ,rgyal tshab,རྒྱལ་ཚབ,rKTs (CC BY 4.0): Dzongkha abbreviations
ng+yal^ab,ངྱལ༹བ,rgyal tshab,རྒྱལ་ཚབ,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyal^ab,རྒྱལ༹བ,rgyal tshab,རྒྱལ་ཚབ,rKTs (CC BY 4.0): Dzongkha abbreviations
d+yalatshoDa,དྱལཚོཌ་,rgyal tshogs,རྒྱལ་ཚོགས་,rKTs (CC BY 4.0): Esukhia
d+yal sa,ངྱལ་ས,rgyal sa,རྒྱལ་ས,rKTs (CC BY 4.0): Dzongkha abbreviations
ng+yal sa,ངྱལ་ས,rgyal sa,རྒྱལ་ས,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyalod,རྒྱལོད,rgyal stod,རྒྱལ་སྟོད,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyald,རྒྱལད,rgyal smad,རྒྱལ་སྨད,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyal+ras,རྒྱལྲས,rgyal sras,རྒྱལ་སྲས,rKTs (CC BY 4.0)
d+yal+ras+cheno,དྱལྲསྖེནོ་,rgyal sras chen po,རྒྱལ་སྲས་ཆེན་པོ་,rKTs (CC BY 4.0): Esukhia
d+yasridar,དྱསྲིདར,rgyal srid dar,རྒྱལ་སྲིད་དར,rKTs (CC BY 4.0): Esukhia
d+yal+rid7,དྱལྲིད༧,rgyal srid bdun,རྒྱལ་སྲིད་བདུན,rKTs (CC BY 4.0): Esukhia
rgyal+rid,རྒྱལྲིད,rgyal srid,རྒྱལ་སྲིད,rKTs (CC BY 4.0)
d+yasatsuglagakhangi,དྱསཙུགླགཁངི,rgyas gtsug lag khang gi,རྒྱས་གཙུག་ལག་ཁང་གི,rKTs (CC BY 4.0): Esukhia
d+yas pa,ངྱས་པ,rgyas pa,རྒྱས་པ,rKTs (CC BY 4.0): Dzongkha abbreviations
ng+yas pa,ངྱས་པ,rgyas pa,རྒྱས་པ,rKTs (CC BY 4.0): Dzongkha abbreviations
d+yasa'+di+e,དྱསའྡིེ་,rgyas pa'i sde,རྒྱས་པའི་སྡེ་,rKTs (CC BY 4.0): Esukhia
rgyasar,རྒྱསར,rgyas par,རྒྱས་པར,rKTs (CC BY 4.0): Dzongkha abbreviations
d+yasashad,དྱསཤད,rgyas bshad,རྒྱས་བཤད,rKTs (CC BY 4.0): Esukhia
d+yasing,དྱསིང,rgyas shing,རྒྱས་ཤིང,rKTs (CC BY 4.0): Esukhia
dyaso,དྱསོ,rgyas so,རྒྱས་སོ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
d+yas,དྱས,rgyas,རྒྱས,rKTs (CC BY 4.0): Esukhia
d+yas,དྱས,rgyas,རྒྱས,rKTs (CC BY 4.0): Esukhia
rgy^un,རྒྱུ༹ན,rgyu mtshan,རྒྱུ་མཚན,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyu+ed,རྒྱེུད,rgyu med,རྒྱུ་མེད,rKTs (CC BY 4.0)
rgyuMde,རྒྱུྃདེ,rgyu med,རྒྱུ་མེད,rKTs (CC BY 4.0): Esukhia
rgyu+en,རྒྱེུན,rgyu rkyen,རྒྱུ་རྐྱེན,rKTs (CC BY 4.0)
rgyu+or yonag,རྒྱོུར་ཡོནག,rgyu sbyor yon bdag,རྒྱུ་སྦྱོར་ཡོན་བདག,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyu+or,རྒྱོུར,rgyu sbyor,རྒྱུ་སྦྱོར,rKTs (CC BY 4.0)
rgyu,རྒྱུ,rgyu,རྒྱུ,rKTs (CC BY 4.0): Esukhia
rgyudag pa,རྒྱུདག་པ,rgyud dag pa,རྒྱུད་དག་པ,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyudo,རྒྱུདོ,rgyud do,རྒྱུད་དོ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
d+yud,ངྱུད,rgyud,རྒྱུད,rKTs (CC BY 4.0): Dzongkha abbreviations
ng+yud,ངྱུད,rgyud,རྒྱུད,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyunu,རྒྱུནུ,rgyun du,རྒྱུན་དུ,rKTs (CC BY 4.0): Esukhia
d+yun mi 'chad,ངྱུན་མི་འཆད,rgyun mi 'chad,རྒྱུན་མི་འཆད,rKTs (CC BY 4.0): Dzongkha abbreviations
ng+yun mi 'chad,ངྱུན་མི་འཆད,rgyun mi 'chad,རྒྱུན་མི་འཆད,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyunaMthud,རྒྱུནྃཐུད,rgyun mthun,རྒྱུན་མཐུན་,rKTs (CC BY 4.0): Esukhia
rgyun+yaMs,རྒྱུནྱཾས,rgyun 'byams,རྒྱུན་འབྱམས,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyuMs,རྒྱུཾས,rgyun 'byams,རྒྱུན་འབྱམས,rKTs (CC BY 4.0): Dzongkha abbreviations
rgy^u ni,རྒྱུ༹་ནི,rgyun 'dzin,རྒྱུན་འཛིན,rKTs (CC BY 4.0): Dzongkha abbreviations
d+yun,ངྱུན,rgyun,རྒྱུན,rKTs (CC BY 4.0): Dzongkha abbreviations
ng+yun,ངྱུན,rgyun,རྒྱུན,rKTs (CC BY 4.0): Dzongkha abbreviations
rgyaub,རྒྱཽབ,rgyob rgyob,རྒྱོབ་རྒྱོབ,rKTs (CC BY 4.0): Dzongkha abbreviations
rngabu,རྔབུ,rngab rngub,རྔབ་རྔུབ,rKTs (CC BY 4.0): Dzongkha abbreviations
rngaMs,རྔཾས,rngams,རྔམས,rKTs (CC BY 4.0): Dzongkha abbreviations
rngog+zer,རྔོགྯེར,rngog zer,རྔོག་ཟེར,rKTs (CC BY 4.0): Esukhia
rjenas,རྗེནས,rje nas,རྗེ་ནས,rKTs (CC BY 4.0): Esukhia
rjetsun,རྗེཙུན,rje btsun,རྗེ་བཙུན,rKTs (CC BY 4.0): Esukhia
rju+en^a,རྗེུན༹,rje btsun,རྗེ་བཙུན,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
rju+en,རྗེུན,rje btsun,རྗེ་བཙུན,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
rdzu+en,རྫེུན,rje btsun,རྗེ་བཙུན,rKTs (CC BY 4.0): Dzongkha abbreviations
rdzen,རྫེན,rje btsun,རྗེ་བཙུན,rKTs (CC BY 4.0): Dzongkha abbreviations
rjesor,རྗེསོར,rjes gsor,རྗེས་གསོར,rKTs (CC BY 4.0): Dzongkha abbreviations
rjes+thob,རྗེསྠོབ,rjes thob,རྗེས་ཐོབ,rKTs (CC BY 4.0): Esukhia
rjesran,རྗེསྲན,rjes dran,རྗེས་དྲན,rKTs (CC BY 4.0): Dzongkha abbreviations
rjesaM,རྗེསཾ,rjes ma,རྗེས་མ,rKTs (CC BY 4.0)
rjesajug,རྗེསཇུག,rjes 'jug,རྗེས་འཇུག,rKTs (CC BY 4.0): Esukhia
rjesu,རྗེསུ,rjes su,རྗེས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
rjeso,རྗེསོ,rjes so,རྗེས་སོ,rKTs (CC BY 4.0): Esukhia
rjesor,རྗེསོར,rjes sor,རྗེས་སོར,rKTs (CC BY 4.0): Dzongkha abbreviations
rjeskyes,རྗེསྐྱེས,rjes skyes,རྗེས་སྐྱེས,rKTs (CC BY 4.0): Dzongkha abbreviations
rnyan+yi,རྙནྱི,rnyan gyi,རྙན་གྱི,rKTs (CC BY 4.0): Esukhia
rnying+khungs,རྙིངྑུངས,rnying khungs,རྙིང་ཁུངས,rKTs (CC BY 4.0): Esukhia
rnyinge,རྙིངེ,rnying nge,རྙིང་ངེ,rKTs (CC BY 4.0): Esukhia
rnying+cas+yos,རྙིངྕསྱོས,rnying bcos byas,རྙིང་བཅོས་བྱས,rKTs (CC BY 4.0): Esukhia
rnyingastan,རྙིངསྟན,rnying bstan,རྙིང་བསྟན,rKTs (CC BY 4.0): Esukhia
rnyingaM,རྙིངྃ་,rnying ma,རྙིང་མ་,rKTs (CC BY 4.0): Esukhia
rnyingatshad,རྙིངཚད,rnying tshad,རྙིང་ཚད,rKTs (CC BY 4.0): Esukhia
rnying+Rul,རྙིངྼུལ,rnying rul,རྙིང་རུལ,rKTs (CC BY 4.0): Esukhia
rnying+r+yudakar+chag,རྙིངྲྱུདཀརྖག,rnying rgyud dkas chag,རྙིང་རྒྱུད་དཀས་ཆག,rKTs (CC BY 4.0): Esukhia
rnyi+ungal,རྙིུངལ,rnying shul,རྙིང་ཤུལ,rKTs (CC BY 4.0): Esukhia
