Abb. Wylie,Abb. Unicode,Expan. Wylie,Expan. Unicode,Source
khrau,ཁྲཽ,khro bo,ཁྲོ་བོ,rKTs (CC BY 4.0)
khro'oi,ཁྲོའོཨི,khro bo'i,ཁྲོ་བོའི,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
mrau,མྲཽ,khro mo,ཁྲོ་མོ,rKTs (CC BY 4.0): Dzongkha abbreviations
khrol,ཁྲོལ,khro rgyal,ཁྲོ་རྒྱལ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
khroMne,ཁྲོཾནེ,khrom chen,ཁྲོམ་ཆེན,rKTs (CC BY 4.0): Dzongkha abbreviations
khroM,ཁྲོཾ,khrom,ཁྲོམ,rKTs (CC BY 4.0)
khrole,ཁྲོལེ,khrol le,ཁྲོལ་ལེ,rKTs (CC BY 4.0): Dzongkha abbreviations
gla,གླ་,ga zla,ག་ཟླ,rKTs (CC BY 4.0): Esukhia
gyu,གྱུ,ga rgyu,ག་རྒྱུ,rKTs (CC BY 4.0): Esukhia
gangu,གངུ,gang bu,གང་བུ,rKTs (CC BY 4.0): Dzongkha abbreviations
gang^ag,གང༹ག,gang zag,གང་ཟག,rKTs (CC BY 4.0): Dzongkha abbreviations
gangag,གངག,gang zag,གང་ཟག,rKTs (CC BY 4.0)
gangazag,གངཟག,gang zag,གང་ཟག,rKTs (CC BY 4.0): Esukhia
gangakhyol,གངཁྱོལ,gang 'khyol,གང་འཁྱོལ,rKTs (CC BY 4.0): Esukhia
gang+yang+rung,གངྱངྲུང,gang yang rung,གང་ཡང་རུང,rKTs (CC BY 4.0): Esukhia
gang+lad+ce,གངླདྕེ,gang slad ce,གང་སླད་ཅེ,rKTs (CC BY 4.0): Esukhia
gaM,གཾ,gang,གང,rKTs (CC BY 4.0): Esukhia
c+yag,ཅྱག,gcag,གཅག,rKTs (CC BY 4.0): Esukhia
c+yaDa,ཅྱཌ་,gcags,གཅགས་,rKTs (CC BY 4.0): Esukhia
c+yeng,ཅྱེང,gcang nge,གཅང་ངེ,rKTs (CC BY 4.0): Esukhia
c+yong,ཅྱོང,gcang bo,གཅང་བོ,rKTs (CC BY 4.0): Esukhia
c+yang,ཅྱང,gcang,གཅང,rKTs (CC BY 4.0): Esukhia
gangasbal,གངསྦལ,gangs sbal,གངས་སྦལ,rKTs (CC BY 4.0): Dzongkha abbreviations
gcan+za,གཅནྯ,gcan gzan,གཅན་གཟན,rKTs (CC BY 4.0): Dzongkha abbreviations
gac+zan,གཅྯན,gcan gzan,གཅན་གཟན,rKTs (CC BY 4.0)
gc+zan,གཅྯན,gcan gzan,གཅན་གཟན,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
c+yanatsha,ཅྱནཚ,gcan tsha,གཅན་ཚ,rKTs (CC BY 4.0): Esukhia
c+yanaphrang,ཅྱནཕྲང,gcan 'phrang,གཅན་འཕྲང,rKTs (CC BY 4.0): Esukhia
gcan+ya?ng,གཅནྱ྄ང་,gcan spyang,གཅན་སྤྱང་,rKTs (CC BY 4.0): Esukhia
c+yaMs+yag,ཅྱྃསྱག,gcam gsag,གཅམ་གསག,rKTs (CC BY 4.0): Esukhia
