acip_input_code,gmr_reading,occurrences,courses,differs_from_plain_strip
ra#garati,ragarati,1,TCS04Mantras,no
vajratari,vajrarati,1,TCS04Mantras,yes
kham%ga,khangga,1,TCS04PrayerBook,yes
vais*ravan%a,vaishravana,1,TCS04PrayerBook,yes
s*veta,shveta,1,TCS07,yes
di#pa,dipa,1,TCS07,no
bhat%t%a#raka#,bhattaraka,1,TCS07,no
yogama#,yogama,1,TCS07,no
na#ro,naro,1,TCS07,no
khecarasya,khecharasya,1,TCS07,yes
sindhurasya,sindhurasya,1,TCS07,no
sa#ddhya,saddhya,1,TCS07,no
ca,cha,1,TCS07,yes
vas*o,vasho,1,TCS07,yes
vidhi,vidhi,1,TCS07,no
viharatisma,viharatisma,1,TCS07,no
svasti,svasti,1,TCS07,no
siddham%,siddham,1,TCS07,no
sapta,sapta,1,TCS07,no
as%t%a,ashta,1,TCS07,yes
mam*gala,mangala,1,TCS07,yes
caks%urbandha,chakshurbandha,1,TCS07,yes
varama#naya,varamanaya,1,TCS07,no
kham%bi#ra,khambira,1,TCS07,no
yoga,yoga,1,TCS07,no
cittam,cittam,1,TCS07,no
utpataya#mi,utpatayami,1,TCS07,no
vi#ras,viras,1,TCS07,no
vajradhara,vajradhara,1,TCS07,no
vajrayogini#,vajrayogini,1,TCS07,no
deva,deva,1,TCS07,no
ks%etrapa#la,kshetrapala,1,TCS07,yes
a#rali,arali,1,TCS08PabongkaSadhana,no
tr%s%ya,tirshya,1,TCS08PabongkaSadhana,yes
naivedya#,naividya,1,TCS08PabongkaSadhana,yes
muh:,muh,1,TCS08PabongkaSadhana,yes
maha#tapte,mahatapte,1,TCS12,no
khan%d%a,khandarohe,1,TCS12,yes
rohe,hung,1,TCS12,yes
hum%,phet,1,TCS12,yes
phat%om%,om,1,TCS12,yes
ehyehi,ehyehi,1,TCS12,no
kamala#yes,kamalayes,1,TCS12,no
nama:,namah,1,TCS12,yes
tatha#gatabhyo,tathagatabhyo,1,TCS12,no
vishva,vishva,1,TCS12,no
mukhebhya:,mukhebhyah,1,TCS12,yes
tatkham%,tatkham,1,TCS12,no
udgate,udgate,1,TCS12,no
spharan%a,spharana,1,TCS12,no
imam%,imam,1,TCS12,no
gaganakham%,gaganakham,1,TCS12,no
gr%hn%edam%,girhnedam,1,TCS12,yes
balim%taye,balimtaye,1,TCS12,no
vighna#n,bighnan,1,TCS16KaliWang,yes
pus%t%im*,pushtim,1,TCS16KaliWang,yes
kula,kula,1,TCS16KaliWang,no
abhis*in~ca,abhishincha,1,TCS16KaliWang,yes
